date,site,assay,chapter,time,reviewer1SpeciesCm,reviewer1SpeciesGn,reviewer1SpeciesSc,reveiwer1 Count,reviewer1Size,reviewer1Blade
10/15/2020,IC-C1,1,GH010010.MP4,2:47,Redband Parrotfish ,Sparisoma,S. aurofrenatum ,1,Mature Adult,2
10/15/2020,IC-C1,1,GH010010.MP4,3:24,Redband Parrotfish ,Sparisoma,S. aurofrenatum ,1,Mature Adult,1
10/15/2020,IC-C1,1,GH010010.MP4,3:24,Redband Parrotfish ,Sparisoma,S. aurofrenatum ,1,Mature Adult,4
10/15/2020,IC-C1,1,GH010010.MP4,5:25,Redband Parrotfish ,Sparisoma,S. aurofrenatum ,1,Mature Adult,3
10/15/2020,IC-C1,1,GH020010.MP4,0:05,Redband Parrotfish ,Sparisoma,S. aurofrenatum ,1,Mature Adult,3
10/15/2020,IC-C1,1,GH020010.MP4,5:00,Redband Parrotfish ,Sparisoma,S. aurofrenatum ,1,Mature Adult,2
10/15/2020,IC-C1,1,GH020010.MP4,6:16,Stoplight Parrotfish ,Sparisoma,S. viride,1,Initial Phase,5
10/15/2020,IC-C1,1,GH020010.MP4,8:42,Redband Parrotfish ,Sparisoma,S. aurofrenatum ,1,Juvinile/Initial Phase,1
10/15/2020,IC-C1,1,GH020010.MP4,10:19,Redband Parrotfish ,Sparisoma,S. aurofrenatum ,1,Juvinile/Initial Phase,1
10/15/2020,IC-C1,1,GH030010.MP4,4:19,Redband Parrotfish ,Sparisoma,S. aurofrenatum ,1,Mature Adult,2
10/15/2020,IC-C1,1,GH030010.MP4,4:22,Redband Parrotfish ,Sparisoma,S. aurofrenatum ,1,Juvinile/Initial Phase,1
10/15/2020,IC-C1,1,GH030010.MP4,4:38,Redband Parrotfish ,Sparisoma,S. aurofrenatum ,1,Juvinile/Initial Phase,1
10/15/2020,IC-C1,1,GH070010.MP4,9:57,Redband Parrotfish ,Sparisoma,S. aurofrenatum ,1,Juvinile/Initial Phase,1
10/15/2020,IC-C1,2,GH020010.MP4,6:05,Redband Parrotfish ,Sparisoma,S. aurofrenatum ,1,Juvinile/Initial Phase,2
10/15/2020,IC-C1,2,GH040010.MP4,1:04,Redband Parrotfish ,Sparisoma,S. aurofrenatum ,1,Juvinile/Initial Phase,1
10/15/2020,IC-C1,2,GH040010.MP4,3:37,Redtail Parrotfish,Sparisoma,S. chrysopertum ,1,Mature Adult,"2,3"
10/15/2020,IC-C1,2,GH040010.MP4,4:23,Redtail Parrotfish,Sparisoma,S. chrysopertum ,1,Mature Adult,"3,4"
10/15/2020,IC-C1,2,GH040010.MP4,4:51,Redband Parrotfish ,Sparisoma,S. aurofrenatum ,1,Mature Adult,"2,4"
10/15/2020,IC-C1,2,GH040010.MP4,5:40,Redtail Parrotfish,Sparisoma,S. chrysopertum ,1,Mature Adult,"4,5"
10/15/2020,IC-C1,2,GH040010.MP4,7:56,Redtail Parrotfish,Sparisoma,S. chrysopertum ,1,Mature Adult,5
10/15/2020,IC-C1,2,GH040010.MP4,8:36,Redtail Parrotfish,Sparisoma,S. chrysopertum ,1,Mature Adult,4
10/15/2020,IC-C1,2,GH040010.MP4,9:41,Redtail Parrotfish,Sparisoma,S. chrysopertum ,1,Mature Adult,4
10/15/2020,IC-C1,2,GH050010.MP4,0:15,Redtail Parrotfish,Sparisoma,S. chrysopertum ,1,Mature Adult,"4,5"
