Blob id	Class name	Centroid x	Centroid y	Coral area	Coral perimeter	Coral note
0.0	Siderastrea spp.	573.1	10744.1	34.1	23.5	
1.0	Siderastrea spp.	390.3	10479.0	114.58	64.7	
2.0	Siderastrea spp.	1102.2	7732.0	57.03	31.2	
3.0	Siderastrea spp.	1403.5	7594.2	97.1	43.8	
4.0	Siderastrea spp.	1305.8	6905.4	53.22	31.1	
5.0	Siderastrea spp.	962.0	5609.3	67.08	32.3	
6.0	Siderastrea spp.	962.5	4664.9	37.1	24.2	
7.0	Siderastrea spp.	1302.4	4267.8	30.38	21.8	
8.0	Gorgonia ventalina	1051.1	4083.1	489.41	117.9	
9.0	Siderastrea spp.	1349.3	3937.7	30.2	21.1	
10.0	Siderastrea spp.	1417.3	3954.8	18.07	17.8	
11.0	Siderastrea spp.	1596.9	3805.4	34.05	22.8	
12.0	Siderastrea spp.	2349.1	2005.6	59.67	55.9	
13.0	Siderastrea spp.	1837.8	1827.7	81.2	36.6	
14.0	Siderastrea spp.	2317.7	1096.1	182.3	53.8	
15.0	Siderastrea spp.	1339.9	637.7	42.09	29.9	
16.0	Palythoa caribaeorum	2423.1	1237.0	23.18	18.9	
17.0	Siderastrea spp.	2541.9	2117.9	143.1	50.3	
18.0	Siderastrea spp.	2487.9	2897.7	45.09	28.0	
19.0	Siderastrea spp.	2723.0	3183.1	9.63	12.4	
20.0	Siderastrea spp.	2195.2	3382.8	16.99	16.8	
21.0	Empty	2308.8	3694.2	12.65	14.1	
22.0	Siderastrea spp.	1914.8	4942.0	108.02	53.0	
23.0	Siderastrea spp.	2245.1	6499.5	221.8	62.6	
24.0	Palythoa caribaeorum	2211.2	6584.9	26.05	26.4	
25.0	Palythoa caribaeorum	2350.5	6639.8	75.52	47.4	
26.0	Palythoa caribaeorum	1876.4	7046.6	2558.71	557.0	
27.0	Palythoa caribaeorum	1662.7	9860.2	1900.84	468.4	
28.0	Palythoa caribaeorum	1478.6	10793.2	193.39	67.6	
29.0	Palythoa caribaeorum	1606.6	11200.1	720.51	200.4	
30.0	Palythoa caribaeorum	2161.3	10768.2	364.27	149.7	
31.0	Palythoa caribaeorum	1894.6	10679.1	133.2	58.4	
32.0	Palythoa caribaeorum	1964.8	10131.1	31.59	25.5	
33.0	Palythoa caribaeorum	2400.6	5013.9	29.26	23.4	
34.0	Palythoa caribaeorum	2459.0	5066.5	65.3	38.8	
35.0	Palythoa caribaeorum	3066.2	1469.5	19.52	17.2	
36.0	Palythoa caribaeorum	3108.0	1631.2	138.18	85.0	
37.0	Palythoa caribaeorum	3190.2	1872.6	64.65	54.6	
38.0	Palythoa caribaeorum	3118.9	2002.6	44.01	30.0	
39.0	Palythoa caribaeorum	3214.2	2030.1	7.61	10.7	
40.0	Siderastrea spp.	3395.3	2858.4	39.64	25.9	
41.0	Palythoa caribaeorum	3019.7	5531.5	34.07	26.4	
42.0	Palythoa caribaeorum	2686.3	6248.4	582.7	283.0	
43.0	Palythoa caribaeorum	2966.1	6310.6	693.77	143.1	
44.0	Palythoa caribaeorum	2801.5	6328.5	16.14	16.7	
45.0	Palythoa caribaeorum	3211.6	6218.8	187.52	65.8	
46.0	Palythoa caribaeorum	3324.2	6357.5	91.21	44.5	
47.0	Palythoa caribaeorum	3236.2	6474.7	99.27	46.0	
48.0	Palythoa caribaeorum	2868.3	6580.5	17.08	16.8	
49.0	Palythoa caribaeorum	2813.3	6668.4	85.81	49.8	
50.0	Palythoa caribaeorum	3005.7	6896.2	231.24	104.5	
51.0	Palythoa caribaeorum	3309.4	7023.6	34.22	23.3	
52.0	Palythoa caribaeorum	3494.2	11346.5	1365.92	186.4	
53.0	Palythoa caribaeorum	3756.0	10880.0	525.17	124.8	
54.0	Palythoa caribaeorum	3921.8	10939.4	13.74	16.4	
55.0	Siderastrea spp.	4050.6	10851.6	81.8	35.3	
56.0	Siderastrea spp.	3695.3	5936.4	93.82	37.6	
57.0	Siderastrea spp.	3679.3	4995.7	45.3	25.7	
58.0	Siderastrea spp.	3236.3	4857.9	27.11	33.9	
59.0	Siderastrea spp.	4255.8	493.9	69.66	35.3	
60.0	Siderastrea spp.	4376.6	932.3	63.21	34.4	
61.0	Siderastrea spp.	4394.9	3233.9	19.42	24.1	
62.0	Siderastrea spp.	3859.6	4702.2	56.13	34.4	
63.0	Diploria labyrinthiformis	4604.5	11438.1	324.83	73.6	
64.0	Siderastrea spp.	3863.2	2400.0	16.78	16.5	
65.0	Siderastrea spp.	5084.2	635.0	24.27	19.3	
66.0	Siderastrea spp.	5157.8	1774.3	63.44	34.3	
67.0	Siderastrea spp.	5053.8	12052.6	114.34	52.8	
68.0	Siderastrea spp.	5319.1	11659.7	123.12	60.8	
69.0	Siderastrea spp.	5244.7	12365.8	47.89	31.7	
70.0	Siderastrea spp.	5535.2	12527.6	106.57	65.2	
71.0	Siderastrea spp.	5565.4	12052.7	65.3	33.7	
72.0	Siderastrea spp.	5460.4	8081.8	53.84	30.7	
73.0	Siderastrea spp.	5612.7	7463.8	78.67	36.3	
74.0	Siderastrea spp.	5615.5	5215.5	141.28	46.8	
75.0	Siderastrea spp.	5552.3	5020.0	49.57	30.7	
76.0	Siderastrea spp.	5571.6	598.3	56.18	30.9	
77.0	Siderastrea spp.	6245.9	1935.8	88.49	47.5	
78.0	Siderastrea spp.	5849.8	2288.5	63.63	32.8	
79.0	Siderastrea spp.	6227.2	10768.6	36.18	23.6	
80.0	Siderastrea spp.	6588.9	11842.5	75.82	36.6	
81.0	Siderastrea spp.	7184.8	10489.6	35.9	26.8	
82.0	Siderastrea spp.	7069.5	10048.9	45.86	26.6	
85.0	Orbicella faveolata	7364.3	6816.4	11.06	13.5	
84.0	Orbicella faveolata	7296.3	6859.8	26.69	20.0	
86.0	Orbicella faveolata	7126.5	6873.7	4.57	8.5	
87.0	Orbicella faveolata	7183.7	6873.6	6.27	10.0	
83.0	Orbicella faveolata	7168.8	6692.3	372.37	191.7	
88.0	Siderastrea spp.	7039.7	3486.8	80.96	36.7	
90.0	Siderastrea spp.	8089.3	4060.5	214.81	107.9	
89.0	Siderastrea spp.	7978.4	4041.5	5.6	10.3	
91.0	Stephannocoenia intersepta	8226.2	4311.7	58.47	38.9	
92.0	Porites astreoides	8480.9	11065.3	23.0	18.6	
93.0	Orbicella faveolata	8268.5	11957.2	453.16	106.9	
94.0	Siderastrea spp.	9225.0	11210.0	88.95	51.0	
95.0	Acropora cervicornis	9076.2	10629.2	31.82	51.6	
96.0	Porites astreoides	8896.6	10348.6	60.67	31.5	
97.0	Siderastrea spp.	9309.5	5666.7	900.85	362.0	
98.0	Siderastrea spp.	8762.5	2251.4	24.75	19.9	
99.0	Siderastrea spp.	9530.7	1533.0	40.32	27.4	
100.0	Empty	9656.6	3074.5	87.03	37.9	
101.0	Siderastrea spp.	9337.0	3956.7	211.8	61.9	
102.0	Siderastrea spp.	9860.1	4482.1	41.58	25.2	
103.0	Siderastrea spp.	10096.4	13029.7	54.12	30.0	
104.0	Siderastrea spp.	10845.7	10466.3	45.31	26.5	
105.0	Siderastrea spp.	9900.0	9308.6	40.22	25.7	
106.0	Siderastrea spp.	10904.2	9372.2	77.2	40.1	
107.0	Siderastrea spp.	10674.1	9533.2	25.24	25.9	
108.0	Siderastrea spp.	10250.5	3214.8	60.59	32.2	
109.0	Orbicella faveolata	10484.2	2515.3	63.1	35.3	
110.0	Stephannocoenia intersepta	10684.9	1078.5	23.1	18.4	
111.0	Siderastrea spp.	10692.9	10771.5	38.66	24.2	
112.0	Siderastrea spp.	11697.5	12734.5	10.29	14.5	
113.0	Siderastrea spp.	11723.6	12785.8	8.56	17.4	
114.0	Siderastrea spp.	11803.2	12487.3	143.21	51.4	
115.0	Siderastrea spp.	11476.5	10615.1	30.4	23.5	
116.0	Siderastrea spp.	11283.7	10358.4	13.32	14.4	
117.0	Siderastrea spp.	12398.6	2778.8	69.21	33.0	
