Blob id	Class name	Centroid x	Centroid y	Coral area	Coral perimeter	Coral note
0.0	Porites astreoides	6860.3	790.7	54.68	29.7	
1.0	Siderastrea spp.	6700.7	1035.7	28.05	21.7	
2.0	Porites astreoides	7329.3	1069.1	21.42	18.2	
3.0	Siderastrea spp.	7181.2	1118.8	37.04	29.8	
4.0	Siderastrea spp.	9668.9	1512.7	51.74	27.7	
5.0	Siderastrea spp.	8108.1	1556.4	7.87	10.8	
6.0	Siderastrea spp.	7964.0	1740.5	21.92	18.1	
7.0	Siderastrea spp.	6635.9	1316.2	16.17	17.4	
8.0	Pseudodiploria strigosa	3249.3	1464.8	38.65	24.7	
9.0	Porites astreoides	8395.4	1369.3	38.91	26.2	
10.0	Siderastrea spp.	7768.9	1480.4	11.99	14.0	
11.0	Madracis formosa	5415.3	2310.1	69.64	42.2	
12.0	Porites astreoides	5239.1	2170.4	59.71	36.3	
13.0	Porites astreoides	393.8	2365.3	113.55	42.3	
14.0	Porites astreoides	32.4	2596.3	47.04	28.0	
15.0	Porites astreoides	214.5	3098.8	87.53	36.6	
16.0	Xestospongia muta	7742.2	2959.6	1656.25	169.8	
17.0	Porites astreoides	7348.2	2635.8	37.39	33.0	
18.0	Porites astreoides	7655.7	2462.9	148.37	50.8	
19.0	Porites astreoides	10261.0	2894.0	27.06	21.4	
20.0	Porites astreoides	9556.0	2852.2	36.74	23.5	
21.0	Porites astreoides	6471.2	2467.2	66.77	32.2	
22.0	Siderastrea spp.	1333.4	2258.1	29.59	24.3	
23.0	Montastraea cavernosa	3203.7	3452.9	17.46	17.0	
24.0	Porites astreoides	4044.1	2968.5	29.78	22.2	
25.0	Siderastrea spp.	5591.3	3109.5	62.74	31.1	
26.0	Siderastrea spp.	5799.9	3329.5	83.99	37.6	
27.0	Siderastrea spp.	6028.5	3665.4	36.37	25.3	
28.0	Siderastrea spp.	6020.8	3412.7	38.88	26.5	
29.0	Porites astreoides	6907.7	3797.2	60.67	29.9	
30.0	Porites astreoides	5956.2	4242.1	26.4	21.1	
31.0	Siderastrea spp.	6200.7	4332.4	51.61	28.5	
32.0	Diploria labyrinthiformis	8616.5	4803.4	30.84	20.9	
33.0	Siderastrea spp.	3979.1	4969.5	22.02	21.2	
34.0	Siderastrea spp.	3975.4	5020.3	14.83	16.8	
35.0	Siderastrea spp.	1547.3	4988.5	135.64	65.4	
36.0	Siderastrea spp.	3634.4	5263.1	28.75	21.6	
37.0	Porites astreoides	8066.8	5626.8	31.16	23.9	
38.0	Porites astreoides	8591.8	5819.6	47.01	27.1	
39.0	Porites astreoides	8587.7	6026.6	46.86	28.0	
40.0	Siderastrea spp.	8685.4	6300.2	16.6	15.7	
41.0	Dichocoenia stokesii	5185.6	6180.4	19.01	18.0	
42.0	Siderastrea spp.	5339.8	6041.3	9.98	12.2	
43.0	Siderastrea spp.	2161.2	6467.9	45.22	32.8	
44.0	Porites astreoides	8914.7	6557.9	46.15	26.4	
45.0	Orbicella faveolata	1224.0	8317.7	82.81	50.0	
46.0	Orbicella faveolata	1082.5	8609.5	38.26	29.8	
47.0	Porites astreoides	1524.6	7980.5	20.19	18.8	
48.0	Siderastrea spp.	4458.1	8166.7	34.63	24.4	
49.0	Acropora cervicornis	4538.3	8101.0	62.47	70.9	
50.0	Porites astreoides	4187.5	8824.0	46.94	36.5	
51.0	Porites astreoides	9549.4	8936.6	128.9	46.0	
52.0	Siderastrea spp.	9665.2	8888.7	16.03	18.4	
53.0	Porites astreoides	9124.8	9262.6	19.54	17.0	
54.0	Siderastrea spp.	2649.5	9202.2	14.32	15.0	
55.0	Porites astreoides	5494.0	9275.5	51.25	30.6	
56.0	Porites astreoides	9970.4	10156.0	34.21	22.8	
57.0	Porites astreoides	7982.5	9719.7	44.74	26.7	
58.0	Porites astreoides	7563.0	10842.2	14.57	15.0	
59.0	Siderastrea spp.	4938.9	10991.7	12.15	14.3	
60.0	Porites astreoides	6228.4	10993.4	23.38	20.1	
61.0	Siderastrea spp.	7793.8	11077.9	11.34	13.8	
62.0	Siderastrea spp.	11135.0	10822.3	3.77	7.6	
63.0	Siderastrea spp.	3357.3	10917.2	52.1	27.9	
64.0	Porites astreoides	3572.1	11371.4	39.79	24.4	
65.0	Porites astreoides	2842.9	11980.5	29.39	22.4	
