Blob id	Class name	Centroid x	Centroid y	Coral area	Coral perimeter	Coral note
1.0	Siderastrea spp.	1568.1	1369.6	4.98	9.2	
2.0	Siderastrea spp.	1555.1	642.4	3.93	8.6	
3.0	Siderastrea spp.	2851.1	194.1	7.36	10.8	
4.0	Siderastrea spp.	3410.2	647.7	24.78	19.8	
5.0	Siderastrea spp.	3702.4	596.0	28.86	22.4	
6.0	Siderastrea spp.	4046.5	1219.6	13.97	15.6	
0.0	Siderastrea spp.	5676.2	1126.9	18.19	16.9	
7.0	Siderastrea spp.	7307.9	1458.1	34.44	33.5	
8.0	Siderastrea spp.	8310.7	336.1	46.09	28.5	
9.0	Porites astreoides	10579.5	1065.9	22.56	19.8	
10.0	Siderastrea spp.	15558.2	550.4	8.85	12.0	
11.0	Siderastrea spp.	18371.3	534.9	4.47	8.8	
12.0	Siderastrea spp.	20333.9	647.3	2.11	5.9	
13.0	Stephannocoenia intersepta	21272.7	897.9	64.6	34.7	
14.0	Siderastrea spp.	23515.2	1049.8	22.85	18.5	
15.0	Siderastrea spp.	23754.5	1463.5	35.27	23.0	
16.0	Siderastrea spp.	28506.2	1418.9	10.34	13.3	
17.0	Siderastrea spp.	28305.5	2555.6	47.66	37.0	
18.0	Siderastrea spp.	27429.6	1591.9	1.03	3.9	
19.0	Siderastrea spp.	26982.5	1909.3	8.34	13.4	
20.0	Stephannocoenia intersepta	25856.4	2185.7	4.42	8.3	
21.0	Stephannocoenia intersepta	22972.4	2377.7	6.71	14.0	
22.0	Stephannocoenia intersepta	22468.4	1814.6	20.68	19.5	
23.0	Porites astreoides	18335.5	2141.3	20.83	19.5	
24.0	Orbicella faveolata	18049.6	2593.3	20.33	19.2	
25.0	Siderastrea spp.	15280.4	3054.7	30.23	26.2	
26.0	Siderastrea spp.	12808.3	3105.1	30.69	25.0	
27.0	Siderastrea spp.	11195.2	1625.3	3.18	7.2	
28.0	Siderastrea spp.	11492.6	1590.7	8.11	11.8	
29.0	Stephannocoenia intersepta	11316.4	1766.8	35.6	37.8	
30.0	Stephannocoenia intersepta	8612.5	1875.0	5.64	10.2	
31.0	Xestospongia muta	9056.9	1793.0	18.02	19.2	
32.0	Siderastrea spp.	20323.1	2184.7	2.76	6.6	
33.0	Siderastrea spp.	28599.6	3043.6	3.31	7.8	
