TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2021-12-08,Porites astreoides,0,3131.8,2140.1,14.64,0.0,15.3,
1,2021-12-08,Siderastrea siderea,1,4866.3,2816.3,39.21,0.0,25.3,
2,2021-12-08,Porites astreoides,2,5368.6,2837.8,91.07,0.0,36.4,
3,2021-12-08,Siderastrea siderea,16,4210.0,3560.2,53.86,0.0,44.1,
4,2021-12-08,Siderastrea siderea,3,7112.6,2962.3,6.95,0.0,10.6,
5,2021-12-08,Stephanocoenia intersepta,166,7592.5,2308.5,5.73,0.0,9.9,
6,2021-12-08,Siderastrea siderea,5,12232.0,3020.9,52.06,0.0,39.7,
7,2021-12-08,Porites astreoides,6,14843.9,3042.6,27.07,0.0,21.2,
8,2021-12-08,Porites astreoides,12,19213.4,2715.1,75.4,0.0,38.3,
9,2021-12-08,Siderastrea siderea,170,20719.3,3238.5,1.78,0.0,5.4,
10,2021-12-08,Porites astreoides,171,23651.1,2829.1,6.26,0.0,10.3,
11,2021-12-08,Siderastrea siderea,13,27784.3,1993.3,19.75,0.0,21.2,
12,2021-12-08,Porites astreoides,173,6809.3,3661.6,6.33,0.0,9.6,
13,2021-12-08,Porites astreoides,174,3035.9,3438.2,7.58,0.0,11.1,
14,2021-12-08,Siderastrea siderea,175,2953.0,3468.4,3.56,0.0,7.7,
15,2021-12-08,Porites astreoides,176,8342.7,4002.9,5.6,0.0,9.1,
16,2021-12-08,Porites astreoides,177,25821.5,3832.7,13.5,0.0,13.9,
17,2021-12-08,Porites astreoides,178,19915.6,4638.5,29.59,0.0,23.8,
18,2021-12-08,Siderastrea siderea,20,20528.6,5856.4,6.82,0.0,14.5,
19,2021-12-08,Siderastrea siderea,21,17698.9,4674.7,12.12,0.0,14.8,
20,2021-12-08,Siderastrea siderea,181,10646.9,3909.0,2.26,0.0,6.5,
21,2021-12-08,Porites astreoides,182,8555.9,4245.0,3.55,0.0,9.1,
22,2021-12-08,Porites astreoides,183,2695.0,5774.0,4.05,0.0,8.4,
23,2021-12-08,Porites astreoides,184,3227.1,5497.0,5.31,0.0,8.9,
24,2021-12-08,Porites astreoides,185,30195.5,7829.7,6.38,0.0,9.7,
26,2021-12-08,Siderastrea siderea,187,24357.4,8246.2,11.72,0.0,17.4,
27,2021-12-08,Porites astreoides,25,17253.9,6796.8,70.6,0.0,38.9,
28,2021-12-08,Porites astreoides,24,13111.7,6325.2,103.11,0.0,40.7,
29,2021-12-08,Porites astreoides,29,2981.6,7062.4,7.22,0.0,10.3,
30,2021-12-08,Porites astreoides,191,2975.9,7168.0,5.49,0.0,9.9,
31,2021-12-08,Porites astreoides,33,8822.0,8397.0,10.64,0.0,13.8,
32,2021-12-08,Siderastrea siderea,34,11467.6,7618.7,368.42,0.0,129.3,
33,2021-12-08,Siderastrea siderea,194,14400.0,7322.3,1.71,0.0,5.3,
34,2021-12-08,Siderastrea siderea,37,27966.1,9454.3,7.6,0.0,10.9,
35,2021-12-08,Porites astreoides,196,27601.0,9227.8,21.79,0.0,19.1,
36,2021-12-08,Porites astreoides,35,23606.5,8378.7,22.37,0.0,19.3,
37,2021-12-08,Porites astreoides,198,5359.2,8100.2,10.76,0.0,14.8,
38,2021-12-08,Siderastrea siderea,199,5124.5,7980.4,9.7,0.0,16.6,
39,2021-12-08,Porites astreoides,39,6014.0,9446.1,5.69,0.0,9.2,
40,2021-12-08,Siderastrea siderea,51,6783.2,10588.7,7.36,0.0,16.0,
41,2021-12-08,Porites astreoides,49,10527.3,11060.3,18.62,0.0,17.6,
42,2021-12-08,Porites astreoides,43,14593.7,10699.7,38.21,0.0,26.3,
43,2021-12-08,Porites astreoides,40,15523.5,9940.2,38.42,0.0,25.9,
44,2021-12-08,Porites astreoides,44,17069.8,10719.4,24.32,0.0,21.4,
45,2021-12-08,Siderastrea siderea,48,21136.3,10452.7,28.8,0.0,35.1,
46,2021-12-08,Porites astreoides,207,21877.2,9803.4,16.58,0.0,15.6,
47,2021-12-08,Porites astreoides,208,29533.5,9447.9,11.02,0.0,13.7,
48,2021-12-08,Porites astreoides,209,29239.7,10307.2,9.42,0.0,12.6,
49,2021-12-08,Porites astreoides,36,28278.9,10168.0,21.36,0.0,24.9,
50,2021-12-08,Siderastrea siderea,55,6600.3,11502.5,45.85,0.0,51.4,
51,2021-12-08,Porites astreoides,56,7188.9,12124.0,59.0,0.0,29.9,
52,2021-12-08,Siderastrea siderea,54,2017.0,11338.4,20.91,0.0,18.8,
