TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note,timePoint
0,8/18/2020,Siderastrea spp.,0,4835.3,151,24.46,,22,,T0
1,8/18/2020,Siderastrea spp.,1,6904.9,714.9,92.56,,42,,T0
2,8/18/2020,Siderastrea spp.,2,4648.9,723.3,6.25,,9.9,,T0
3,8/18/2020,Siderastrea spp.,3,4289,1501.3,39.09,,27,,T0
4,8/18/2020,Acropora cervicornis,4,5027.4,1634.4,133.3,,160,,T0
5,8/18/2020,Porites astreoides,5,5700.6,1190.1,22.07,,18.8,,T0
6,8/18/2020,Siderastrea spp.,6,11039.8,1242.9,17.39,,16.4,,T0
7,8/18/2020,Porites astreoides,7,10465.6,1796.2,22.09,,18.5,,T0
8,8/18/2020,Porites astreoides,8,12331.3,2840,28.18,,21.9,,T0
9,8/18/2020,Siderastrea spp.,9,9375,3815.8,37.71,,26.4,,T0
10,8/18/2020,Siderastrea spp.,10,5976.8,3609.9,77.45,,56.3,,T0
11,8/18/2020,Porites astreoides,11,4424.4,3550.1,45.31,,28.3,,T0
12,8/18/2020,Porites astreoides,12,10331.6,3826.5,27.15,,21,,T0
13,8/18/2020,Siderastrea spp.,13,12432.2,3999.3,56.93,,29.2,,T0
14,8/18/2020,Porites astreoides,14,10297.6,4367.7,5.38,,10.2,,T0
15,8/18/2020,Stephannocoenia intersepta,15,9983.5,4399.4,6.62,,10.8,,T0
16,8/18/2020,Orbicella faveolata,16,2998.8,5040.3,615.12,,110.5,,T0
17,8/18/2020,Siderastrea spp.,17,5178.1,5493.8,19.06,,17,,T0
18,8/18/2020,Siderastrea spp.,18,7187.8,5328.2,24.54,,21.1,,T0
19,8/18/2020,Siderastrea spp.,19,10544.8,5565.2,56.63,,28.8,,T0
20,8/18/2020,Siderastrea spp.,20,6443.5,6272.3,8.91,,11.6,,T0
21,8/18/2020,Siderastrea spp.,21,9717.3,6131.9,34.32,,23.3,,T0
22,8/18/2020,Siderastrea spp.,22,10139.9,6623.3,21.46,,18.9,,T0
23,8/18/2020,Porites astreoides,23,7868.8,6658.6,39.72,,24.4,,T0
24,8/18/2020,Porites astreoides,24,7969.4,6724.4,61.38,,30.6,,T0
25,8/18/2020,Siderastrea spp.,25,2909.8,6666.9,34,,22.7,,T0
26,8/18/2020,Siderastrea spp.,26,2083,7142.2,14.32,,15.2,,T0
27,8/18/2020,Siderastrea spp.,27,5894.8,6999.9,58.01,,29.8,,T0
28,8/18/2020,Siderastrea spp.,28,10207.3,7485.7,22.43,,18.7,,T0
29,8/18/2020,Siderastrea spp.,29,6684.5,7547.1,24.76,,19.6,,T0
30,8/18/2020,Siderastrea spp.,30,6815.3,7315,91.47,,63.9,,T0
31,8/18/2020,Porites astreoides,31,5636.6,7704.7,34.08,,23.8,,T0
32,8/18/2020,Porites astreoides,32,6065,7753.3,34.3,,23.7,,T0
33,8/18/2020,Porites astreoides,33,6173.7,7867.5,14.11,,14.9,,T0
34,8/18/2020,Porites astreoides,34,6301.7,7884,16.85,,17.1,,T0
35,8/18/2020,Siderastrea spp.,35,10528,8461.8,13.49,,14.2,,T0
36,8/18/2020,Siderastrea spp.,36,7084.3,8605.8,5.88,,15.2,,T0
37,8/18/2020,Siderastrea spp.,37,7089.9,8575,2.31,,6.5,,T0
38,8/18/2020,Porites astreoides,38,5915.5,8275.6,99.92,,40,,T0
39,8/18/2020,Siderastrea spp.,39,5081,8612.7,16.14,,15.6,,T0
40,8/18/2020,Porites astreoides,40,2551.6,8228.7,19.77,,20.1,,T0
41,8/18/2020,Siderastrea spp.,41,1687.8,8861.2,20.39,,17.6,,T0
42,8/18/2020,Siderastrea spp.,42,2773.9,9043.9,7.44,,10.3,,T0
43,8/18/2020,Siderastrea spp.,43,4072.8,8975.2,9.67,,12.9,,T0
44,8/18/2020,Siderastrea spp.,44,4720.7,9091.2,12.39,,14,,T0
45,8/18/2020,Porites astreoides,45,4667.3,8805,42.39,,26.1,,T0
46,8/18/2020,Porites astreoides,46,8285.7,8966.2,74.15,,37.9,,T0
47,8/18/2020,Porites astreoides,47,8604.5,8969.4,23.93,,19,,T0
48,8/18/2020,Porites astreoides,48,7455.1,9698.1,25.18,,20.2,,T0
49,8/18/2020,Siderastrea spp.,49,6886.5,9691.4,32.78,,23.2,,T0
50,8/18/2020,Porites astreoides,50,6207.4,9617,15.62,,16.3,,T0
51,8/18/2020,Porites astreoides,51,4111.6,9421.1,52.5,,28.3,,T0
52,8/18/2020,Siderastrea spp.,52,1712.4,9677,11.66,,13.7,,T0
53,8/18/2020,Siderastrea spp.,53,4407.3,9983.8,25.69,,19.7,,T0
54,8/18/2020,Porites astreoides,54,8643.1,10165.6,19.49,,18.3,,T0
55,8/18/2020,Porites astreoides,55,8350.8,10427.7,39.97,,24.1,,T0
56,8/18/2020,Porites astreoides,56,3402.2,10349.2,14.99,,15.1,,T0
57,8/18/2020,Siderastrea spp.,57,1468.2,10451,79.6,,44,,T0
58,8/18/2020,Siderastrea spp.,58,6163.2,10700.8,275.69,,69.5,,T0
