TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note,timePoint
1,12/7/2021,Porites astreoides,259,8980.1,3679.3,10.66,0,16.9,,T12
2,12/7/2021,Siderastrea siderea,260,7438,4849.4,23.23,0,27.1,,T12
3,12/7/2021,Siderastrea siderea,261,7295.6,4924.7,3.37,0,7,,T12
4,12/7/2021,Siderastrea siderea,262,7451.7,4972.4,2.37,0,6.3,,T12
7,12/7/2021,Siderastrea siderea,265,11286.7,3320.1,15.66,0,18.4,,T12
8,12/7/2021,Porites astreoides,266,13271.9,4770,46.15,0,28.9,,T12
9,12/7/2021,Siderastrea siderea,267,13762.9,2606.6,3.02,0,8.2,,T12
10,12/7/2021,Siderastrea siderea,268,14048.5,2233,3.73,0,8.6,,T12
11,12/7/2021,Siderastrea siderea,269,14763.8,3594.1,32.89,0,35.7,,T12
12,12/7/2021,Siderastrea siderea,270,14953.2,3818.4,7.22,0,19.4,,T12
13,12/7/2021,Porites astreoides,271,13732.4,3183.1,17.79,0,18.8,,T12
14,12/7/2021,Siderastrea siderea,272,13933.1,4782.3,14.56,0,18.5,,T12
15,12/7/2021,Siderastrea siderea,273,17622.2,2711.1,17.71,0,19.8,,T12
16,12/7/2021,Siderastrea siderea,274,19264.5,3611.8,24.17,0,22.5,,T12
17,12/7/2021,Siderastrea siderea,275,19083.5,3714.7,37.3,0,34.9,,T12
18,12/7/2021,Siderastrea siderea,276,19670,2395.7,46.77,0,35.6,,T12
19,12/7/2021,Stephanocoenia intersepta,277,22120.7,4050.9,47.16,0,41.6,,T12
20,12/7/2021,Orbicella faveolata,278,19961.1,3956.1,115.9,0,57.4,,T12
21,12/7/2021,Stephanocoenia intersepta,279,20329.2,3930.8,93.68,0,86.3,,T12
22,12/7/2021,Siderastrea siderea,280,24367.6,2348.6,52.48,0,75.4,,T12
25,12/7/2021,Empty,283,24682.9,4118.4,1.3,0,6.4,,T12
23,12/7/2021,Siderastrea siderea,281,24897.9,3944.6,61.79,0,53.6,,T12
24,12/7/2021,Siderastrea siderea,282,22929.1,3902.4,15.35,0,21.3,,T12
26,12/7/2021,Siderastrea siderea,284,23834.3,3097.2,6.84,0,13.8,,T12
27,12/7/2021,Porites astreoides,285,23689.4,3104,5.86,0,9.3,,T12
28,12/7/2021,Siderastrea siderea,286,27114.5,3186.7,44.83,0,35.1,,T12
29,12/7/2021,Siderastrea siderea,287,28462.2,3613.3,20.97,0,25.4,,T12
30,12/7/2021,Siderastrea siderea,288,28308.8,3968.3,7.5,0,15.2,,T12
31,12/7/2021,Porites astreoides,289,28782.9,3856.4,17.22,0,16.7,,T12
32,12/7/2021,Siderastrea siderea,290,29375,2196.7,26.9,0,25.4,,T12
33,12/7/2021,Siderastrea siderea,291,29535.2,2274.6,14.66,0,21.7,,T12
34,12/7/2021,Siderastrea siderea,292,2306.7,5191.3,17.65,0,17.8,,T12
35,12/7/2021,Siderastrea siderea,293,3786.9,5403.4,172.66,0,69.8,,T12
36,12/7/2021,Porites astreoides,294,1498.9,6205.6,17.06,0,16.2,,T12
37,12/7/2021,Siderastrea siderea,295,6371.4,6797.8,74.96,0,42.7,,T12
38,12/7/2021,Porites astreoides,296,5633.4,6987,9.72,0,11.7,,T12
39,12/7/2021,Siderastrea siderea,297,5441.8,7876.9,145.86,0,71.4,,T12
40,12/7/2021,Porites astreoides,298,4539.5,8139.1,49.41,0,39,,T12
