TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2021-12-08,Porites astreoides,198,2827.7,3371.7,9.89,0.0,13.8,
2,2021-12-08,Siderastrea siderea,200,8691.4,2827.5,3.95,0.0,8.6,
3,2021-12-08,Porites astreoides,0,7400.0,3127.8,41.09,0.0,26.0,
4,2021-12-08,Montastraea cavernosa,202,8306.1,3359.1,3.47,0.0,7.5,
5,2021-12-08,Porites astreoides,1,12574.3,2441.1,22.9,0.0,27.3,
6,2021-12-08,Porites astreoides,204,11670.1,2823.5,8.25,0.0,12.3,
7,2021-12-08,Porites astreoides,3,11623.7,2757.1,8.53,0.0,15.3,
8,2021-12-08,Porites astreoides,206,12234.4,3777.4,5.4,0.0,10.0,
9,2021-12-08,Porites astreoides,6,10428.3,3806.5,17.39,0.0,16.7,
10,2021-12-08,Siderastrea siderea,5,10249.0,4467.2,11.02,0.0,15.3,
11,2021-12-08,Siderastrea siderea,209,14065.3,3615.4,2.6,0.0,6.6,
12,2021-12-08,Siderastrea siderea,7,13526.0,3913.2,60.83,0.0,35.8,
13,2021-12-08,Siderastrea siderea,8,14732.9,4011.5,39.18,0.0,26.4,
14,2021-12-08,Porites astreoides,212,15719.9,4333.1,2.66,0.0,6.7,
15,2021-12-08,Siderastrea siderea,213,17632.3,2162.2,2.2,0.0,5.9,
16,2021-12-08,Siderastrea siderea,10,17671.7,2560.0,22.59,0.0,19.9,
17,2021-12-08,Siderastrea siderea,215,17750.3,3277.9,1.19,0.0,4.2,
18,2021-12-08,Siderastrea siderea,216,16617.1,4558.6,5.59,0.0,10.1,
19,2021-12-08,Siderastrea siderea,217,17949.0,3999.9,0.94,0.0,3.8,
20,2021-12-08,Siderastrea siderea,218,21172.5,3507.5,1.28,0.0,4.7,
21,2021-12-08,Siderastrea siderea,219,21070.2,3745.7,0.28,0.0,2.0,
22,2021-12-08,Siderastrea siderea,220,18667.2,4453.6,3.89,0.0,7.9,
23,2021-12-08,Siderastrea siderea,2,20641.3,4583.8,8.39,0.0,15.3,
24,2021-12-08,Acropora cervicornis,222,21300.1,4698.5,40.15,0.0,58.1,
25,2021-12-08,Porites astreoides,223,22776.2,3587.0,25.76,0.0,21.0,
26,2021-12-08,Siderastrea siderea,224,23312.6,3348.5,3.09,0.0,7.2,
27,2021-12-08,Siderastrea siderea,225,21683.0,3813.5,1.5,0.0,4.6,
28,2021-12-08,Acropora cervicornis,226,21782.3,4817.3,172.75,0.0,189.5,
29,2021-12-08,Porites astreoides,227,25504.7,2315.4,8.27,0.0,11.0,
30,2021-12-08,Siderastrea siderea,228,26437.5,2793.3,25.38,0.0,20.5,
31,2021-12-08,Porites astreoides,229,28338.7,2370.8,10.33,0.0,13.0,
32,2021-12-08,Siderastrea siderea,19,27284.1,3798.3,36.77,0.0,29.8,
33,2021-12-08,Siderastrea siderea,231,27323.8,4708.0,2.92,0.0,7.0,
34,2021-12-08,Siderastrea siderea,18,3046.2,5955.9,13.63,0.0,16.2,
35,2021-12-08,Siderastrea siderea,233,8365.5,5120.9,12.56,0.0,17.3,
36,2021-12-08,Siderastrea siderea,234,8873.2,5721.3,10.65,0.0,15.5,
37,2021-12-08,Siderastrea siderea,235,9019.2,5698.5,0.99,0.0,3.8,
38,2021-12-08,Porites astreoides,236,7797.2,5993.7,1.9,0.0,5.5,
40,2021-12-08,Acropora cervicornis,238,10098.0,6441.1,60.43,0.0,86.1,
39,2021-12-08,Acropora cervicornis,237,9887.6,6460.3,1.67,0.0,5.0,
41,2021-12-08,Acropora cervicornis,239,10107.6,6681.6,7.75,0.0,16.6,
42,2021-12-08,Acropora cervicornis,240,9601.6,6624.3,22.64,0.0,26.4,
43,2021-12-08,Acropora cervicornis,241,9747.6,6693.3,3.58,0.0,8.8,
44,2021-12-08,Acropora cervicornis,242,9947.2,6906.1,117.49,0.0,164.0,
45,2021-12-08,Acropora cervicornis,243,12275.7,6258.1,2.79,0.0,8.1,
46,2021-12-08,Acropora cervicornis,244,12514.7,6303.5,35.43,0.0,45.5,
47,2021-12-08,Acropora cervicornis,245,12883.0,6090.7,36.51,0.0,58.8,
49,2021-12-08,Acropora cervicornis,247,11791.3,8036.9,2.92,0.0,8.1,
48,2021-12-08,Acropora cervicornis,246,12038.3,7799.3,556.05,0.0,540.2,
50,2021-12-08,Siderastrea siderea,23,14839.9,5570.3,6.24,0.0,12.4,
51,2021-12-08,Acropora cervicornis,249,15061.7,5809.5,3.59,0.0,9.5,
52,2021-12-08,Acropora cervicornis,250,15198.4,5863.7,7.95,0.0,13.3,
53,2021-12-08,Acropora cervicornis,251,13646.3,6796.1,137.26,0.0,197.9,
54,2021-12-08,Siderastrea siderea,252,13723.9,7161.1,2.62,0.0,6.7,
55,2021-12-08,Acropora cervicornis,253,13086.2,7016.0,70.37,0.0,97.4,
56,2021-12-08,Empty,254,14046.1,6376.9,5.92,0.0,9.6,
57,2021-12-08,Siderastrea siderea,196,14441.8,6349.8,12.34,0.0,13.8,
58,2021-12-08,Porites astreoides,256,14539.2,6715.4,5.9,0.0,10.5,
59,2021-12-08,Siderastrea siderea,24,15542.0,7223.2,12.96,0.0,14.5,
60,2021-12-08,Acropora cervicornis,258,16127.8,6820.7,343.14,0.0,335.1,
61,2021-12-08,Porites astreoides,197,16320.7,7364.8,21.28,0.0,18.6,
62,2021-12-08,Siderastrea siderea,260,18292.7,5097.3,5.04,0.0,10.5,
63,2021-12-08,Porites astreoides,261,21092.8,5108.1,3.91,0.0,9.8,
64,2021-12-08,Siderastrea siderea,262,19819.7,6363.3,26.5,0.0,22.7,
65,2021-12-08,Acropora cervicornis,263,21560.9,5295.5,156.34,0.0,182.3,
66,2021-12-08,Acropora cervicornis,264,21937.4,5483.2,41.28,0.0,49.6,
67,2021-12-08,Acropora cervicornis,265,22181.7,5646.7,16.31,0.0,24.2,
68,2021-12-08,Acropora cervicornis,266,22092.8,6098.9,19.66,0.0,29.9,
69,2021-12-08,Acropora cervicornis,267,21100.2,6525.9,564.29,0.0,510.7,
70,2021-12-08,Acropora cervicornis,268,20035.4,7714.1,192.36,0.0,225.8,
71,2021-12-08,Siderastrea siderea,269,24038.0,7381.5,1.17,0.0,4.3,
72,2021-12-08,Siderastrea siderea,270,24975.0,4989.3,17.42,0.0,17.4,
73,2021-12-08,Siderastrea siderea,271,24746.5,6701.4,18.93,0.0,17.7,
74,2021-12-08,Porites astreoides,272,24529.4,6582.4,6.66,0.0,10.7,
75,2021-12-08,Montastraea cavernosa,273,28188.4,7373.0,9.63,0.0,11.9,
76,2021-12-08,Siderastrea siderea,274,28771.5,7585.6,2.4,0.0,6.0,
77,2021-12-08,Porites astreoides,33,4181.2,8844.5,125.56,0.0,58.3,
78,2021-12-08,Siderastrea siderea,276,9747.3,9299.6,48.59,0.0,28.3,
79,2021-12-08,Acropora cervicornis,277,9216.4,8557.5,238.85,0.0,305.7,
80,2021-12-08,Porites astreoides,278,7661.1,10534.7,62.71,0.0,37.1,
81,2021-12-08,Dichocoenia stokesi,279,10035.2,10395.7,3.62,0.0,7.4,
82,2021-12-08,Empty,280,9446.2,9788.1,3.33,0.0,7.0,
83,2021-12-08,Siderastrea siderea,281,10280.8,7739.9,11.46,0.0,13.0,
84,2021-12-08,Acropora cervicornis,282,10836.9,7966.9,20.67,0.0,27.2,
85,2021-12-08,Siderastrea siderea,283,10737.0,8942.9,5.67,0.0,10.2,
86,2021-12-08,Acropora cervicornis,284,10666.5,9232.1,22.22,0.0,33.3,
87,2021-12-08,Siderastrea siderea,285,11596.1,9039.4,14.63,0.0,19.1,
88,2021-12-08,Siderastrea siderea,286,11584.7,9105.7,0.82,0.0,3.6,
89,2021-12-08,Porites astreoides,287,11044.0,9641.4,25.81,0.0,20.6,
90,2021-12-08,Porites astreoides,288,10598.6,9923.9,18.21,0.0,18.2,
91,2021-12-08,Acropora cervicornis,289,12291.5,9700.1,46.26,0.0,70.0,
92,2021-12-08,Acropora cervicornis,290,12098.3,9856.6,13.46,0.0,22.6,
93,2021-12-08,Acropora cervicornis,291,12081.3,10409.4,39.96,0.0,63.5,
95,2021-12-08,Porites astreoides,293,12516.1,10251.1,32.44,0.0,30.1,
94,2021-12-08,Acropora cervicornis,292,12262.2,10076.4,235.31,0.0,253.3,
96,2021-12-08,Siderastrea siderea,294,12855.2,10119.5,10.35,0.0,15.4,
97,2021-12-08,Siderastrea siderea,295,13399.2,10303.2,95.66,0.0,38.0,
98,2021-12-08,Siderastrea siderea,296,12982.5,8407.1,42.37,0.0,26.2,
100,2021-12-08,Siderastrea siderea,298,15527.0,8210.0,54.93,0.0,43.7,
99,2021-12-08,Siderastrea siderea,297,15755.4,8188.1,54.06,0.0,31.6,
102,2021-12-08,Siderastrea siderea,300,14521.1,9515.4,11.43,0.0,14.5,
101,2021-12-08,Siderastrea siderea,299,14556.7,9416.6,5.19,0.0,11.8,
103,2021-12-08,Acropora cervicornis,301,14482.7,10293.3,80.35,0.0,103.2,
104,2021-12-08,Empty,302,14454.1,9846.4,3.63,0.0,8.7,
105,2021-12-08,Acropora cervicornis,303,16143.3,10490.3,24.21,0.0,41.8,
106,2021-12-08,Acropora cervicornis,304,16025.8,9801.1,413.49,0.0,461.2,
107,2021-12-08,Porites astreoides,305,16193.0,8094.6,17.74,0.0,18.4,
108,2021-12-08,Porites astreoides,306,17294.1,7990.3,30.98,0.0,22.6,
109,2021-12-08,Porites astreoides,307,18310.2,9139.0,13.42,0.0,15.9,
110,2021-12-08,Empty,308,17945.0,9250.4,1.93,0.0,10.5,
111,2021-12-08,Acropora cervicornis,309,18645.2,9496.4,17.24,0.0,24.9,
112,2021-12-08,Siderastrea siderea,310,20804.7,7778.7,34.35,0.0,40.6,
113,2021-12-08,Acropora cervicornis,311,21545.3,8186.0,66.74,0.0,88.8,
114,2021-12-08,Acropora cervicornis,312,21933.1,8145.5,10.59,0.0,16.4,
115,2021-12-08,Acropora cervicornis,313,22078.9,8151.1,4.35,0.0,10.1,
116,2021-12-08,Siderastrea siderea,314,19607.8,9166.5,58.29,0.0,33.4,
117,2021-12-08,Porites astreoides,315,18740.4,8102.9,8.94,0.0,11.6,
118,2021-12-08,Acropora cervicornis,316,20119.0,9805.6,381.91,0.0,431.7,
120,2021-12-08,Siderastrea siderea,318,21446.8,8734.4,8.87,0.0,12.3,
119,2021-12-08,Acropora cervicornis,317,21643.3,8760.7,160.71,0.0,190.6,
121,2021-12-08,Siderastrea siderea,319,23313.8,8003.9,1.16,0.0,4.5,
122,2021-12-08,Acropora cervicornis,320,22606.0,10518.0,17.07,0.0,28.5,
123,2021-12-08,Acropora cervicornis,321,22692.8,10358.7,14.96,0.0,25.4,
124,2021-12-08,Acropora cervicornis,322,22608.0,10241.9,4.23,0.0,11.8,
126,2021-12-08,Acropora cervicornis,324,24220.4,9884.7,25.43,0.0,40.1,
125,2021-12-08,Acropora cervicornis,323,23944.3,10168.6,181.24,0.0,201.3,
127,2021-12-08,Acropora cervicornis,325,24428.0,9988.1,2.22,0.0,6.2,
128,2021-12-08,Acropora cervicornis,326,24494.7,10028.8,1.51,0.0,5.1,
129,2021-12-08,Acropora cervicornis,327,24424.0,10030.9,1.37,0.0,4.4,
130,2021-12-08,Acropora cervicornis,328,23978.1,10588.0,25.1,0.0,35.4,
131,2021-12-08,Acropora cervicornis,329,24076.5,10726.7,4.87,0.0,10.5,
132,2021-12-08,Siderastrea siderea,330,25035.7,8567.9,5.21,0.0,9.6,
133,2021-12-08,Siderastrea siderea,331,26735.3,10003.5,32.09,0.0,30.1,
134,2021-12-08,Porites astreoides,332,28742.9,8592.3,20.37,0.0,19.1,
135,2021-12-08,Porites astreoides,333,28768.8,8694.8,2.86,0.0,7.2,
136,2021-12-08,Porites astreoides,334,28650.3,8642.7,6.81,0.0,13.7,
137,2021-12-08,Empty,335,28754.8,8667.2,0.33,0.0,2.5,
138,2021-12-08,Siderastrea siderea,336,27614.7,8292.0,4.26,0.0,9.5,
139,2021-12-08,Empty,337,28350.6,9758.7,4.81,0.0,9.4,
140,2021-12-08,Porites astreoides,338,27706.6,10499.8,47.07,0.0,28.6,
141,2021-12-08,Porites astreoides,56,2700.3,11710.6,31.78,0.0,26.2,
142,2021-12-08,Siderastrea siderea,57,2893.1,12011.5,16.31,0.0,18.3,
143,2021-12-08,Siderastrea siderea,58,4733.1,11325.6,67.27,0.0,32.5,
144,2021-12-08,Siderastrea siderea,342,6457.0,11252.3,27.3,0.0,20.0,
145,2021-12-08,Siderastrea siderea,343,7121.1,10537.4,7.97,0.0,12.0,
146,2021-12-08,Agaricia agaricites,344,5090.7,12548.7,1.94,0.0,6.1,
147,2021-12-08,Agaricia agaricites,345,5019.9,12586.3,2.24,0.0,6.2,
148,2021-12-08,Porites astreoides,60,4875.7,13306.6,24.88,0.0,20.5,
149,2021-12-08,Siderastrea siderea,347,7410.9,10896.5,3.0,0.0,7.0,
150,2021-12-08,Acropora cervicornis,348,9028.8,11401.6,276.74,0.0,285.6,
151,2021-12-08,Porites astreoides,349,7522.1,12129.8,32.79,0.0,24.3,
