TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2022-12-09,Acropora cervicornis,0,5738.4,30391.5,9.78,0.0,16.7,
1,2022-12-09,Acropora cervicornis,1,5875.7,30273.2,2.92,0.0,6.9,
2,2022-12-09,Acropora cervicornis,2,6017.3,30349.2,10.9,0.0,16.6,
3,2022-12-09,Acropora cervicornis,3,6035.3,30821.2,18.12,0.0,27.7,
4,2022-12-09,Orbicella faveolata,4,8609.7,9595.6,5.29,0.0,8.6,
6,2022-12-09,Orbicella faveolata,6,8698.7,9711.9,5.07,0.0,8.6,
8,2022-12-09,Orbicella faveolata,8,8619.1,9798.1,5.02,0.0,8.6,
5,2022-12-09,Orbicella faveolata,5,8556.4,9706.1,5.05,0.0,8.6,
7,2022-12-09,Orbicella faveolata,7,8433.2,9740.3,8.19,0.0,10.8,
9,2022-12-09,Orbicella faveolata,9,9138.1,10418.2,5.77,0.0,9.6,
10,2022-12-09,Orbicella faveolata,10,9048.2,10430.2,3.34,0.0,7.0,
11,2022-12-09,Orbicella faveolata,11,9232.8,10452.2,5.81,0.0,9.4,
12,2022-12-09,Orbicella faveolata,12,9124.6,10558.8,6.67,0.0,10.1,
13,2022-12-09,Orbicella faveolata,13,9027.0,10568.2,7.92,0.0,11.1,
14,2022-12-09,Montastraea cavernosa,14,14792.8,8590.2,5.8,0.0,9.6,
16,2022-12-09,Montastraea cavernosa,16,14732.6,8753.4,6.89,0.0,10.1,
15,2022-12-09,Montastraea cavernosa,15,14898.2,8700.8,4.9,0.0,8.8,
17,2022-12-09,Montastraea cavernosa,17,14848.0,8839.4,8.38,0.0,11.0,
18,2022-12-09,Montastraea cavernosa,18,14967.1,8849.3,8.31,0.0,11.6,
19,2022-12-09,Montastraea cavernosa,19,14960.2,9088.8,9.3,0.0,11.7,
21,2022-12-09,Montastraea cavernosa,21,15075.4,9205.4,6.82,0.0,9.9,
23,2022-12-09,Montastraea cavernosa,23,15158.0,9303.0,6.77,0.0,10.0,
22,2022-12-09,Montastraea cavernosa,22,15265.0,9240.6,5.29,0.0,8.9,
20,2022-12-09,Montastraea cavernosa,20,15363.5,9118.7,9.13,0.0,11.4,
24,2022-12-09,Montastraea cavernosa,24,15762.5,9082.5,8.34,0.0,11.0,
