Blob id	Class name	Centroid x	Centroid y	Coral area	Coral perimeter	Coral note
0.0	Siderastrea spp.	4835.3	151.0	24.46	22.0	
1.0	Siderastrea spp.	6904.9	714.9	92.56	42.0	
2.0	Siderastrea spp.	4648.9	723.3	6.25	9.9	
3.0	Siderastrea spp.	4289.0	1501.3	39.09	27.0	
4.0	Acropora cervicornis	5027.4	1634.4	133.3	160.0	
5.0	Porites astreoides	5700.6	1190.1	22.07	18.8	
6.0	Siderastrea spp.	11039.8	1242.9	17.39	16.4	
7.0	Porites astreoides	10465.6	1796.2	22.09	18.5	
8.0	Porites astreoides	12331.3	2840.0	28.18	21.9	
9.0	Siderastrea spp.	9375.0	3815.8	37.71	26.4	
10.0	Siderastrea spp.	5976.8	3609.9	77.45	56.3	
11.0	Porites astreoides	4424.4	3550.1	45.31	28.3	
12.0	Porites astreoides	10331.6	3826.5	27.15	21.0	
13.0	Siderastrea spp.	12432.2	3999.3	56.93	29.2	
14.0	Porites astreoides	10297.6	4367.7	5.38	10.2	
15.0	Stephannocoenia intersepta	9983.5	4399.4	6.62	10.8	
16.0	Orbicella faveolata	2998.8	5040.3	615.12	110.5	
17.0	Siderastrea spp.	5178.1	5493.8	19.06	17.0	
18.0	Siderastrea spp.	7187.8	5328.2	24.54	21.1	
19.0	Siderastrea spp.	10544.8	5565.2	56.63	28.8	
20.0	Siderastrea spp.	6443.5	6272.3	8.91	11.6	
21.0	Siderastrea spp.	9717.3	6131.9	34.32	23.3	
22.0	Siderastrea spp.	10139.9	6623.3	21.46	18.9	
23.0	Porites astreoides	7868.8	6658.6	39.72	24.4	
24.0	Porites astreoides	7969.4	6724.4	61.38	30.6	
25.0	Siderastrea spp.	2909.8	6666.9	34.0	22.7	
26.0	Siderastrea spp.	2083.0	7142.2	14.32	15.2	
27.0	Siderastrea spp.	5894.8	6999.9	58.01	29.8	
28.0	Siderastrea spp.	10207.3	7485.7	22.43	18.7	
29.0	Siderastrea spp.	6684.5	7547.1	24.76	19.6	
30.0	Siderastrea spp.	6815.3	7315.0	91.47	63.9	
31.0	Porites astreoides	5636.6	7704.7	34.08	23.8	
32.0	Porites astreoides	6065.0	7753.3	34.3	23.7	
33.0	Porites astreoides	6173.7	7867.5	14.11	14.9	
34.0	Porites astreoides	6301.7	7884.0	16.85	17.1	
35.0	Siderastrea spp.	10528.0	8461.8	13.49	14.2	
36.0	Siderastrea spp.	7084.3	8605.8	5.88	15.2	
37.0	Siderastrea spp.	7089.9	8575.0	2.31	6.5	
38.0	Porites astreoides	5915.5	8275.6	99.92	40.0	
39.0	Siderastrea spp.	5081.0	8612.7	16.14	15.6	
40.0	Porites astreoides	2551.6	8228.7	19.77	20.1	
41.0	Siderastrea spp.	1687.8	8861.2	20.39	17.6	
42.0	Siderastrea spp.	2773.9	9043.9	7.44	10.3	
43.0	Siderastrea spp.	4072.8	8975.2	9.67	12.9	
44.0	Siderastrea spp.	4720.7	9091.2	12.39	14.0	
45.0	Porites astreoides	4667.3	8805.0	42.39	26.1	
46.0	Porites astreoides	8285.7	8966.2	74.15	37.9	
47.0	Porites astreoides	8604.5	8969.4	23.93	19.0	
48.0	Porites astreoides	7455.1	9698.1	25.18	20.2	
49.0	Siderastrea spp.	6886.5	9691.4	32.78	23.2	
50.0	Porites astreoides	6207.4	9617.0	15.62	16.3	
51.0	Porites astreoides	4111.6	9421.1	52.5	28.3	
52.0	Siderastrea spp.	1712.4	9677.0	11.66	13.7	
53.0	Siderastrea spp.	4407.3	9983.8	25.69	19.7	
54.0	Porites astreoides	8643.1	10165.6	19.49	18.3	
55.0	Porites astreoides	8350.8	10427.7	39.97	24.1	
56.0	Porites astreoides	3402.2	10349.2	14.99	15.1	
57.0	Siderastrea spp.	1468.2	10451.0	79.6	44.0	
58.0	Siderastrea spp.	6163.2	10700.8	275.69	69.5	
