TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2020-09-18,Siderastrea siderea,0,7770.9,4399.2,191.2,0.0,58.0,
2,2020-09-18,Porites astreoides,2,7939.3,4355.1,12.66,0.0,14.4,
1,2020-09-18,Siderastrea siderea,1,6051.1,3671.5,46.21,0.0,34.7,
4,2020-09-18,Siderastrea siderea,4,10146.6,3766.2,23.41,0.0,18.9,
5,2020-09-18,Siderastrea siderea,5,12418.7,3732.3,32.53,0.0,28.5,
6,2020-09-18,Porites astreoides,6,18982.9,3744.1,23.29,0.0,19.6,
7,2020-09-18,Porites astreoides,7,22166.3,3873.7,32.52,0.0,22.5,
8,2020-09-18,Siderastrea siderea,8,23194.1,3740.1,53.22,0.0,28.5,
9,2020-09-18,Siderastrea siderea,9,24343.6,3771.5,3.62,0.0,8.4,
10,2020-09-18,Siderastrea siderea,10,24344.5,3814.6,1.81,0.0,5.6,
11,2020-09-18,Porites astreoides,11,19902.8,4130.8,53.83,0.0,52.8,
12,2020-09-18,Siderastrea siderea,12,16581.8,4149.6,42.74,0.0,28.8,
13,2020-09-18,Siderastrea siderea,13,11322.4,3999.6,64.69,0.0,35.2,
14,2020-09-18,Stephanocoenia intersepta,14,6264.7,4294.5,19.88,0.0,17.8,
15,2020-09-18,Siderastrea siderea,15,6441.1,4502.0,29.15,0.0,26.2,
16,2020-09-18,Siderastrea siderea,16,5420.3,4523.3,14.35,0.0,22.0,
17,2020-09-18,Siderastrea siderea,17,6611.0,4568.7,3.71,0.0,7.5,
18,2020-09-18,Siderastrea siderea,18,10448.5,4349.2,6.43,0.0,10.1,
19,2020-09-18,Stephanocoenia intersepta,19,11648.7,4355.5,49.82,0.0,68.9,
20,2020-09-18,Stephanocoenia intersepta,20,12571.4,4571.4,48.52,0.0,56.5,
21,2020-09-18,Siderastrea siderea,21,20213.2,4735.8,48.23,0.0,31.4,
22,2020-09-18,Siderastrea siderea,22,21842.9,4492.5,1.4,0.0,4.8,
23,2020-09-18,Siderastrea siderea,23,21807.4,4520.9,1.9,0.0,5.9,
24,2020-09-18,Siderastrea siderea,24,21873.6,4536.5,3.3,0.0,8.6,
25,2020-09-18,Siderastrea siderea,25,24733.4,4488.4,7.28,0.0,10.5,
26,2020-09-18,Stephanocoenia intersepta,26,22764.7,5110.7,64.74,0.0,34.2,
27,2020-09-18,Porites astreoides,27,22318.8,4986.0,27.62,0.0,20.6,
28,2020-09-18,Siderastrea siderea,28,15077.6,5402.5,25.29,0.0,21.1,
29,2020-09-18,Stephanocoenia intersepta,29,14717.2,5252.9,7.18,0.0,12.3,
30,2020-09-18,Porites astreoides,30,13535.1,5397.2,49.12,0.0,28.6,
31,2020-09-18,Siderastrea siderea,31,12727.4,5370.6,50.38,0.0,29.2,
32,2020-09-18,Siderastrea siderea,32,12670.9,5481.1,21.55,0.0,26.4,
33,2020-09-18,Siderastrea siderea,33,12501.5,4991.5,35.96,0.0,24.3,
34,2020-09-18,Siderastrea siderea,34,6990.6,5672.3,81.3,0.0,38.4,
35,2020-09-18,Siderastrea siderea,35,6222.6,5839.0,37.64,0.0,28.7,
36,2020-09-18,Porites astreoides,36,6013.9,5786.7,19.68,0.0,18.1,
37,2020-09-18,Siderastrea siderea,37,7892.2,5962.4,65.3,0.0,57.9,
38,2020-09-18,Siderastrea siderea,38,7718.3,5942.4,2.12,0.0,5.7,
39,2020-09-18,Siderastrea siderea,39,8236.4,6147.3,139.27,0.0,73.4,
40,2020-09-18,Siderastrea siderea,40,9367.5,6014.6,15.94,0.0,17.9,
41,2020-09-18,Siderastrea siderea,41,11214.9,6007.1,18.49,0.0,23.0,
42,2020-09-18,Siderastrea siderea,42,13930.3,6238.8,64.36,0.0,38.8,
43,2020-09-18,Siderastrea siderea,44,14539.4,5545.1,38.35,0.0,25.4,
44,2020-09-18,Siderastrea siderea,44,14655.6,5688.6,65.73,0.0,34.7,
45,2020-09-18,Siderastrea siderea,45,18931.3,6007.5,24.39,0.0,20.4,
46,2020-09-18,Siderastrea siderea,46,21084.8,5806.0,80.59,0.0,41.4,
47,2020-09-18,Stephanocoenia intersepta,47,21383.9,5482.5,6.76,0.0,11.4,
48,2020-09-18,Siderastrea siderea,48,22109.1,5241.1,8.19,0.0,11.4,
49,2020-09-18,Orbicella faveolata,49,21919.4,6357.0,67.83,0.0,36.5,
50,2020-09-18,Siderastrea siderea,50,25208.1,6702.7,68.93,0.0,42.4,
51,2020-09-18,Siderastrea siderea,51,23672.9,6849.2,10.14,0.0,14.7,
52,2020-09-18,Stephanocoenia intersepta,52,21774.4,7191.3,6.87,0.0,12.9,
53,2020-09-18,Siderastrea siderea,53,20516.1,7368.2,96.56,0.0,39.7,
54,2020-09-18,Porites astreoides,54,17848.1,6556.4,38.16,0.0,38.2,
55,2020-09-18,Siderastrea siderea,55,10521.4,6548.3,20.36,0.0,18.8,
56,2020-09-18,Porites astreoides,56,7101.2,6498.9,35.36,0.0,25.0,
57,2020-09-18,Siderastrea siderea,57,9741.7,7360.1,45.85,0.0,27.4,
58,2020-09-18,Siderastrea siderea,58,17259.5,7301.4,83.39,0.0,36.1,
59,2020-09-18,Siderastrea siderea,59,21554.5,7548.6,86.89,0.0,35.8,
60,2020-09-18,Pseudodiploria strigosa,60,13689.7,8230.9,49.35,0.0,27.4,
61,2020-09-18,Siderastrea siderea,61,11539.1,7922.9,33.03,0.0,44.7,
65,2020-09-18,Empty,65,10817.4,7959.4,0.53,0.0,4.1,
64,2020-09-18,Siderastrea siderea,64,10735.2,7857.6,30.66,0.0,25.9,
63,2020-09-18,Stephanocoenia intersepta,63,10831.4,7813.3,16.36,0.0,19.9,
62,2020-09-18,Stephanocoenia intersepta,62,10912.0,7699.3,10.53,0.0,12.7,
66,2020-09-18,Siderastrea siderea,66,8596.5,7954.6,10.74,0.0,13.2,
