Blob id	Class name	Centroid x	Centroid y	Coral area	Coral perimeter	Coral note
0.0	Siderastrea spp.	6813.8	1606.2	96.32	39.3	
1.0	Stephannocoenia intersepta	8112.4	1719.8	41.02	25.5	
2.0	Siderastrea spp.	4883.8	2490.5	133.78	45.4	
3.0	Siderastrea spp.	10979.4	2373.5	37.05	26.0	
4.0	Porites astreoides	11101.3	2662.4	49.01	27.9	
5.0	Siderastrea spp.	10753.3	3236.9	148.27	48.1	
6.0	Siderastrea spp.	11164.0	3364.3	145.57	46.1	
7.0	Siderastrea spp.	9752.3	3236.7	25.63	19.8	
8.0	Siderastrea spp.	12425.4	3435.4	23.13	19.6	
9.0	Xestospongia muta	3685.1	3986.8	730.96	105.8	
10.0	Xestospongia muta	4782.0	3949.8	751.07	107.4	
11.0	Siderastrea spp.	11170.4	3765.9	17.27	17.3	
12.0	Siderastrea spp.	11728.1	4203.5	6.77	10.0	
13.0	Xestospongia muta	15120.1	4270.2	156.62	49.6	
14.0	Xestospongia muta	15164.2	4908.5	123.3	44.0	
15.0	Xestospongia muta	15311.9	4949.2	182.81	54.4	
16.0	Xestospongia muta	15576.2	4523.8	675.82	100.3	
17.0	Porites astreoides	14753.2	4655.1	155.21	51.0	
18.0	Siderastrea spp.	13584.9	4595.5	92.53	38.3	
19.0	Siderastrea spp.	8624.8	5921.9	54.58	28.9	
20.0	Porites astreoides	8952.4	5927.2	62.08	33.3	
21.0	Porites astreoides	9254.2	6107.6	91.99	39.5	
22.0	Porites astreoides	12203.6	5909.4	56.3	31.2	
23.0	Siderastrea spp.	11180.5	6678.7	47.8	27.9	
24.0	Siderastrea spp.	10722.2	6395.2	5.75	12.9	
25.0	Siderastrea spp.	10803.3	6389.1	56.93	34.3	
26.0	Siderastrea spp.	10729.8	6322.1	29.71	21.4	
27.0	Siderastrea spp.	3152.8	7248.6	40.31	24.5	
28.0	Porites astreoides	7639.7	6813.0	99.96	44.0	
29.0	Siderastrea spp.	9275.0	6924.5	19.76	17.7	
30.0	Stephannocoenia intersepta	9250.3	7447.3	85.06	41.5	
31.0	Siderastrea spp.	14098.5	7205.3	70.64	33.2	
32.0	Porites astreoides	17233.6	6780.6	69.06	32.2	
33.0	Siderastrea spp.	17767.1	6699.8	70.99	36.8	
