TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2022-04-28,Acropora cervicornis,0,25538.4,3824.4,651.04,0.0,171.9,
1,2022-04-28,Acropora cervicornis,1,23880.9,4168.0,1068.42,0.0,199.3,
2,2022-04-28,Acropora cervicornis,2,24017.8,4349.1,7.07,0.0,12.9,
3,2022-04-28,Acropora cervicornis,3,24980.6,4179.8,216.6,0.0,82.7,
4,2022-04-28,Acropora cervicornis,4,20648.4,3810.0,671.3,0.0,144.5,
5,2022-04-28,Acropora cervicornis,5,19287.0,4033.0,767.04,0.0,140.4,
6,2022-04-28,Acropora cervicornis,6,5697.6,3792.8,172.55,0.0,93.6,
7,2022-04-28,Acropora cervicornis,7,5605.9,3797.3,26.16,0.0,27.9,
8,2022-04-28,Acropora cervicornis,8,7151.9,3556.9,242.56,0.0,75.4,
9,2022-04-28,Acropora cervicornis,9,15606.8,3759.6,661.19,0.0,205.3,
10,2022-04-28,Acropora cervicornis,10,5877.6,4517.2,31.36,0.0,36.2,
12,2022-04-28,Acropora cervicornis,12,5959.2,4663.3,31.73,0.0,31.8,
11,2022-04-28,Acropora cervicornis,11,5922.3,4580.7,98.36,0.0,82.6,
13,2022-04-28,Acropora cervicornis,13,7215.2,4976.5,374.96,0.0,110.3,
14,2022-04-28,Acropora cervicornis,14,7964.9,4386.8,341.65,0.0,122.6,
15,2022-04-28,Acropora cervicornis,15,11338.6,5303.7,263.25,0.0,99.5,
16,2022-04-28,Acropora cervicornis,16,11490.0,5354.6,16.95,0.0,22.6,
17,2022-04-28,Acropora cervicornis,17,10421.6,5238.2,153.31,0.0,111.5,
18,2022-04-28,Acropora cervicornis,0,12065.4,4802.5,161.72,0.0,74.8,
19,2022-04-28,Acropora cervicornis,0,15293.6,5456.7,114.8,0.0,93.6,
20,2022-04-28,Acropora cervicornis,0,15566.1,5476.7,9.17,0.0,16.8,
21,2022-04-28,Acropora cervicornis,0,16693.4,5252.7,714.77,0.0,169.6,
22,2022-04-28,Empty,0,16849.4,5272.5,2.06,0.0,6.0,
23,2022-04-28,Acropora cervicornis,0,16650.3,4329.4,676.82,0.0,185.1,
24,2022-04-28,Acropora cervicornis,0,17852.0,4869.3,1129.28,0.0,231.9,
25,2022-04-28,Acropora cervicornis,0,19772.7,4526.5,555.15,0.0,185.0,
26,2022-04-28,Acropora cervicornis,0,24278.4,4885.1,971.65,0.0,193.2,
27,2022-04-28,Acropora cervicornis,0,25249.3,4425.2,135.28,0.0,99.8,
28,2022-04-28,Acropora cervicornis,0,25935.6,5268.6,11.57,0.0,21.4,
