TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2022-06-10,Acropora palmata,0,4119.1,1586.6,58.78,0.0,42.9,
1,2022-06-10,Acropora palmata,1,4217.0,1768.4,39.7,0.0,32.1,
2,2022-06-10,Acropora palmata,2,4256.3,1809.8,35.9,0.0,28.2,
3,2022-06-10,Acropora palmata,3,4079.9,1090.8,51.95,0.0,37.9,
4,2022-06-10,Acropora palmata,4,4118.9,1134.6,19.3,0.0,16.9,
5,2022-06-10,Acropora palmata,5,4036.7,914.2,34.39,0.0,27.1,
6,2022-06-10,Acropora palmata,6,4085.0,893.6,12.51,0.0,13.6,
7,2022-06-10,Acropora palmata,7,4083.0,947.6,11.68,0.0,13.4,
8,2022-06-10,Acropora palmata,8,13322.5,1560.8,81.1,0.0,36.6,
9,2022-06-10,Acropora palmata,9,16846.9,1518.3,13.25,0.0,14.6,
10,2022-06-10,Acropora palmata,10,16882.0,916.5,165.21,0.0,50.6,
11,2022-06-10,Acropora palmata,11,16509.4,2839.0,23.86,0.0,18.7,
12,2022-06-10,Acropora palmata,12,14125.1,2170.4,8.47,0.0,11.0,
13,2022-06-10,Acropora palmata,13,12471.4,1932.5,24.99,0.0,19.8,
14,2022-06-10,Acropora palmata,14,11243.7,2764.2,31.98,0.0,36.4,
15,2022-06-10,Acropora palmata,15,10592.7,2901.3,281.42,0.0,74.9,
16,2022-06-10,Acropora palmata,16,10591.2,2325.6,123.21,0.0,52.2,
17,2022-06-10,Acropora palmata,0,9609.9,1872.6,5.84,0.0,9.5,
18,2022-06-10,Acropora palmata,0,8140.9,2101.8,14.5,0.0,16.8,
19,2022-06-10,Acropora palmata,0,6938.2,2747.0,29.53,0.0,20.7,
20,2022-06-10,Acropora palmata,0,6837.0,2881.1,23.55,0.0,18.1,
21,2022-06-10,Acropora palmata,0,8232.0,2680.6,12.5,0.0,13.8,
22,2022-06-10,Acropora palmata,0,6053.0,2045.7,19.88,0.0,16.9,
23,2022-06-10,Acropora palmata,0,5685.2,2710.8,97.97,0.0,41.4,
24,2022-06-10,Acropora palmata,0,6426.4,2447.9,22.28,0.0,20.0,
25,2022-06-10,Acropora palmata,0,3770.2,1914.1,17.78,0.0,15.7,
26,2022-06-10,Acropora palmata,0,3762.3,1960.9,47.93,0.0,37.4,
27,2022-06-10,Acropora palmata,0,4281.6,1984.4,15.26,0.0,15.1,
28,2022-06-10,Acropora palmata,0,4358.9,2017.8,13.32,0.0,13.9,
29,2022-06-10,Acropora palmata,0,4310.2,2037.6,15.8,0.0,14.9,
30,2022-06-10,Acropora palmata,0,5138.9,2483.9,13.81,0.0,15.2,
31,2022-06-10,Acropora palmata,0,5108.1,2563.3,42.18,0.0,24.7,
35,2022-06-10,Acropora palmata,0,3606.8,2395.7,31.52,0.0,26.0,
36,2022-06-10,Acropora palmata,0,3667.5,2416.5,41.97,0.0,29.4,
37,2022-06-10,Acropora palmata,0,3813.8,2469.1,74.32,0.0,40.8,
38,2022-06-10,Acropora palmata,0,3955.1,2568.0,86.66,0.0,45.0,
34,2022-06-10,Acropora palmata,0,4035.1,2364.6,15.96,0.0,14.8,
32,2022-06-10,Acropora palmata,0,4043.1,2307.9,18.22,0.0,16.2,
33,2022-06-10,Acropora palmata,0,3975.4,2325.5,17.25,0.0,16.1,
39,2022-06-10,Acropora palmata,0,4123.3,2343.5,16.66,0.0,15.3,
41,2022-06-10,Acropora palmata,0,3256.9,2566.3,42.92,0.0,32.9,
40,2022-06-10,Acropora palmata,0,3209.7,2536.7,12.94,0.0,13.6,
42,2022-06-10,Acropora palmata,0,3144.1,2158.0,27.48,0.0,24.8,
43,2022-06-10,Acropora palmata,0,3171.4,2197.8,15.33,0.0,15.2,
44,2022-06-10,Acropora palmata,0,3224.1,2214.9,18.94,0.0,16.6,
45,2022-06-10,Acropora palmata,0,2286.0,2887.4,66.88,0.0,34.7,
46,2022-06-10,Acropora palmata,0,1861.0,2670.1,45.05,0.0,35.5,
47,2022-06-10,Acropora palmata,0,2047.2,2596.5,42.82,0.0,33.0,
48,2022-06-10,Acropora palmata,0,2110.5,2613.7,18.35,0.0,16.2,
49,2022-06-10,Acropora palmata,0,2415.3,2655.2,82.93,0.0,42.0,
50,2022-06-10,Acropora palmata,0,2635.0,2969.8,45.08,0.0,33.1,
51,2022-06-10,Acropora palmata,0,2692.6,2999.2,16.65,0.0,15.7,
52,2022-06-10,Acropora palmata,0,3109.1,2995.8,44.13,0.0,38.0,
53,2022-06-10,Acropora palmata,0,3059.4,3014.6,15.67,0.0,14.9,
54,2022-06-10,Acropora palmata,0,1913.8,3232.0,95.79,0.0,45.3,
55,2022-06-10,Acropora palmata,0,1658.2,3555.1,82.52,0.0,38.9,
56,2022-06-10,Acropora palmata,0,2722.2,4077.7,10.61,0.0,12.2,
57,2022-06-10,Acropora palmata,0,3464.6,3032.5,55.92,0.0,38.8,
58,2022-06-10,Acropora palmata,0,3413.3,3040.9,8.59,0.0,11.5,
59,2022-06-10,Acropora palmata,0,3768.6,3652.6,123.87,0.0,46.4,
60,2022-06-10,Acropora palmata,0,4885.2,3827.7,8.16,0.0,12.6,
61,2022-06-10,Acropora palmata,0,4148.6,3670.8,8.95,0.0,12.5,
62,2022-06-10,Acropora palmata,0,4681.8,3208.6,24.3,0.0,19.0,
63,2022-06-10,Acropora palmata,0,4086.9,3086.9,50.07,0.0,34.9,
64,2022-06-10,Acropora palmata,0,4039.5,3117.8,19.17,0.0,16.6,
65,2022-06-10,Acropora palmata,0,4410.1,3236.3,5.54,0.0,8.8,
66,2022-06-10,Acropora palmata,0,6439.3,3547.0,55.09,0.0,29.8,
67,2022-06-10,Acropora palmata,0,6843.1,3543.1,26.97,0.0,19.9,
68,2022-06-10,Acropora palmata,0,6557.7,3979.9,8.94,0.0,11.1,
69,2022-06-10,Acropora palmata,0,7847.5,4085.3,34.61,0.0,23.5,
70,2022-06-10,Acropora palmata,0,11347.6,3492.4,177.29,0.0,55.8,
71,2022-06-10,Acropora palmata,0,11098.5,2985.4,25.77,0.0,20.4,
72,2022-06-10,Acropora palmata,0,11281.5,3733.6,227.03,0.0,62.6,
73,2022-06-10,Acropora palmata,0,11933.2,4008.0,186.52,0.0,54.2,
74,2022-06-10,Acropora palmata,0,11336.4,4192.1,59.66,0.0,32.2,
75,2022-06-10,Acropora palmata,0,11170.2,4021.3,114.71,0.0,45.5,
76,2022-06-10,Acropora palmata,0,12778.7,3307.1,204.22,0.0,57.0,
77,2022-06-10,Acropora palmata,0,13715.4,3575.6,16.61,0.0,15.9,
78,2022-06-10,Acropora palmata,0,13248.6,3667.1,19.52,0.0,18.5,
79,2022-06-10,Acropora palmata,0,13011.8,3753.4,49.05,0.0,28.3,
80,2022-06-10,Acropora palmata,0,12364.0,3848.8,97.57,0.0,44.2,
81,2022-06-10,Acropora palmata,0,12382.8,4210.0,185.16,0.0,59.1,
82,2022-06-10,Acropora palmata,0,13922.5,3048.7,38.18,0.0,23.9,
83,2022-06-10,Acropora palmata,0,14235.8,3834.8,3.27,0.0,7.0,
84,2022-06-10,Acropora palmata,0,17413.3,4493.1,41.95,0.0,25.6,
85,2022-06-10,Acropora palmata,0,17921.4,4794.9,16.78,0.0,16.3,
86,2022-06-10,Acropora palmata,0,18160.3,4803.4,61.1,0.0,30.6,
87,2022-06-10,Acropora palmata,0,18182.1,4905.6,10.88,0.0,12.9,
88,2022-06-10,Acropora palmata,0,15570.0,4379.1,16.53,0.0,15.4,
89,2022-06-10,Acropora palmata,0,12109.0,4276.0,172.59,0.0,59.9,
90,2022-06-10,Acropora palmata,0,12510.2,4478.7,155.43,0.0,58.2,
91,2022-06-10,Acropora palmata,0,12923.7,4271.1,175.75,0.0,54.3,
92,2022-06-10,Acropora palmata,0,7696.6,4270.0,14.28,0.0,14.3,
