TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2022-07-12,Acropora cervicornis,0,16188.3,3472.3,512.36,0.0,174.8,
1,2022-07-12,Acropora cervicornis,1,16954.7,3990.7,1046.59,0.0,277.0,
2,2022-07-12,Acropora cervicornis,2,17057.8,5083.1,1293.12,0.0,183.0,
3,2022-07-12,Acropora cervicornis,3,17377.9,5722.0,839.04,0.0,254.8,
4,2022-07-12,Acropora cervicornis,4,17819.8,4798.7,44.15,0.0,46.0,
5,2022-07-12,Acropora cervicornis,5,15164.2,4837.3,689.26,0.0,208.0,
6,2022-07-12,Acropora cervicornis,6,13559.2,5404.6,553.0,0.0,204.5,
7,2022-07-12,Acropora cervicornis,7,12664.4,6073.8,420.85,0.0,163.6,
8,2022-07-12,Acropora cervicornis,8,8090.1,6343.7,321.94,0.0,139.4,
9,2022-07-12,Acropora cervicornis,9,7731.2,6765.3,88.09,0.0,78.7,
10,2022-07-12,Acropora cervicornis,10,8798.6,8011.0,590.5,0.0,238.4,
11,2022-07-12,Acropora cervicornis,11,8204.9,7964.2,69.63,0.0,49.7,
12,2022-07-12,Acropora cervicornis,12,9246.1,6229.2,7.64,0.0,14.1,
13,2022-07-12,Acropora cervicornis,13,9133.1,6334.9,138.91,0.0,85.8,
14,2022-07-12,Acropora cervicornis,14,9368.7,6357.2,160.23,0.0,119.5,
15,2022-07-12,Acropora cervicornis,15,9798.2,7023.4,744.81,0.0,196.1,
16,2022-07-12,Acropora cervicornis,16,9781.6,7636.9,420.29,0.0,197.2,
17,2022-07-12,Acropora cervicornis,17,10442.4,7658.6,558.16,0.0,194.3,
18,2022-07-12,Acropora cervicornis,18,10572.7,8221.8,546.09,0.0,145.2,
19,2022-07-12,Acropora cervicornis,19,12652.3,6447.7,543.9,0.0,187.5,
20,2022-07-12,Acropora cervicornis,20,12525.8,7969.7,70.64,0.0,75.3,
21,2022-07-12,Acropora cervicornis,21,12686.2,7961.1,29.56,0.0,30.8,
22,2022-07-12,Acropora cervicornis,22,12931.2,7374.9,625.8,0.0,238.9,
23,2022-07-12,Acropora cervicornis,23,13021.7,8230.1,766.5,0.0,210.7,
24,2022-07-12,Acropora cervicornis,24,12276.7,8172.2,62.63,0.0,44.5,
25,2022-07-12,Acropora cervicornis,25,13157.5,6853.4,601.46,0.0,229.7,
26,2022-07-12,Acropora cervicornis,26,13437.0,6370.9,452.47,0.0,256.7,
27,2022-07-12,Acropora cervicornis,27,14406.8,6952.7,743.18,0.0,240.9,
28,2022-07-12,Acropora cervicornis,28,14806.3,7303.3,43.34,0.0,37.9,
29,2022-07-12,Acropora cervicornis,29,14506.3,8197.2,36.37,0.0,43.8,
30,2022-07-12,Acropora cervicornis,30,14656.3,8110.0,63.68,0.0,41.1,
31,2022-07-12,Acropora cervicornis,31,15790.8,8239.4,98.64,0.0,72.0,
32,2022-07-12,Acropora cervicornis,32,16000.1,7245.0,941.83,0.0,194.6,
33,2022-07-12,Acropora cervicornis,33,14984.5,6492.7,10.7,0.0,16.5,
34,2022-07-12,Acropora cervicornis,34,15274.6,6458.5,605.9,0.0,250.8,
35,2022-07-12,Acropora cervicornis,35,15422.2,6258.7,127.4,0.0,102.0,
36,2022-07-12,Acropora cervicornis,36,17553.7,6164.4,885.25,0.0,202.0,
37,2022-07-12,Acropora cervicornis,37,17020.4,6702.6,637.34,0.0,210.6,
38,2022-07-12,Acropora cervicornis,38,19725.5,6337.1,13.51,0.0,21.9,
39,2022-07-12,Acropora cervicornis,39,19598.1,7958.3,97.04,0.0,49.6,
40,2022-07-12,Acropora cervicornis,40,20101.8,8008.1,160.41,0.0,125.9,
41,2022-07-12,Acropora cervicornis,41,20418.6,6657.3,387.0,0.0,149.2,
42,2022-07-12,Acropora cervicornis,42,20636.3,6720.3,7.83,0.0,14.7,
43,2022-07-12,Acropora cervicornis,43,20997.5,6135.1,108.72,0.0,65.3,
44,2022-07-12,Acropora cervicornis,44,21227.5,6793.8,281.08,0.0,259.5,
45,2022-07-12,Acropora cervicornis,45,20941.5,7705.0,572.2,0.0,231.6,
46,2022-07-12,Acropora cervicornis,46,22240.0,7747.3,382.2,0.0,181.5,
47,2022-07-12,Acropora cervicornis,47,20732.2,8431.6,1036.78,0.0,256.4,
48,2022-07-12,Acropora cervicornis,48,21534.3,8611.3,379.14,0.0,199.1,
49,2022-07-12,Acropora cervicornis,49,9597.5,8675.4,844.67,0.0,168.2,
50,2022-07-12,Acropora cervicornis,50,8788.1,8857.0,799.05,0.0,187.1,
51,2022-07-12,Acropora cervicornis,51,8237.6,10430.7,403.95,0.0,142.2,
52,2022-07-12,Acropora cervicornis,52,7122.9,10315.2,158.1,0.0,103.1,
53,2022-07-12,Acropora cervicornis,53,7426.9,9853.0,339.23,0.0,123.4,
54,2022-07-12,Acropora cervicornis,54,7565.8,9543.3,150.59,0.0,96.6,
55,2022-07-12,Acropora cervicornis,55,6363.2,10371.9,423.4,0.0,177.5,
56,2022-07-12,Acropora cervicornis,56,5998.0,9947.6,158.19,0.0,90.5,
57,2022-07-12,Acropora cervicornis,57,6043.8,9743.9,179.93,0.0,93.8,
58,2022-07-12,Acropora cervicornis,58,5267.3,10896.1,202.59,0.0,100.0,
59,2022-07-12,Acropora cervicornis,59,5272.6,10675.8,27.34,0.0,30.1,
60,2022-07-12,Acropora cervicornis,60,6269.6,11441.3,21.49,0.0,32.5,
61,2022-07-12,Acropora cervicornis,61,6131.8,11131.6,534.89,0.0,169.2,
62,2022-07-12,Acropora cervicornis,62,7023.0,10501.5,89.58,0.0,64.1,
63,2022-07-12,Acropora cervicornis,63,7609.0,10758.8,683.2,0.0,175.0,
64,2022-07-12,Acropora cervicornis,64,7862.6,11539.1,610.81,0.0,206.7,
65,2022-07-12,Acropora cervicornis,65,8171.1,12427.3,526.5,0.0,178.8,
66,2022-07-12,Acropora cervicornis,66,6914.5,13904.7,350.25,0.0,120.5,
67,2022-07-12,Acropora cervicornis,67,7580.6,14105.9,550.89,0.0,171.9,
68,2022-07-12,Acropora cervicornis,68,7768.1,14003.4,20.99,0.0,26.3,
69,2022-07-12,Acropora cervicornis,69,7013.6,14467.7,742.65,0.0,146.4,
70,2022-07-12,Acropora cervicornis,70,6802.4,14772.3,61.85,0.0,62.4,
71,2022-07-12,Acropora cervicornis,71,4673.5,14526.8,34.79,0.0,37.4,
72,2022-07-12,Acropora cervicornis,72,4047.4,15411.9,336.58,0.0,155.0,
73,2022-07-12,Acropora cervicornis,73,4559.0,15604.1,361.69,0.0,150.7,
74,2022-07-12,Acropora cervicornis,74,4852.6,15707.6,73.79,0.0,52.1,
75,2022-07-12,Acropora cervicornis,75,5332.8,16213.0,368.53,0.0,185.9,
76,2022-07-12,Acropora cervicornis,76,6292.9,15714.4,429.91,0.0,228.9,
77,2022-07-12,Acropora cervicornis,77,7135.9,15207.3,570.33,0.0,151.3,
78,2022-07-12,Acropora cervicornis,78,25288.8,19030.6,587.49,0.0,179.1,
79,2022-07-12,Acropora cervicornis,79,24649.0,17920.7,398.87,0.0,199.2,
80,2022-07-12,Acropora cervicornis,80,23552.1,19305.2,408.45,0.0,158.2,
81,2022-07-12,Acropora cervicornis,81,21939.8,19092.9,719.44,0.0,174.5,
82,2022-07-12,Acropora cervicornis,82,19345.9,19259.3,413.63,0.0,127.7,
83,2022-07-12,Acropora cervicornis,83,19084.8,19223.8,33.36,0.0,41.0,
84,2022-07-12,Acropora cervicornis,84,18762.4,18047.0,586.1,0.0,151.7,
85,2022-07-12,Acropora cervicornis,85,18065.6,17872.3,675.7,0.0,206.0,
86,2022-07-12,Acropora cervicornis,86,17222.1,18573.7,669.08,0.0,186.1,
87,2022-07-12,Acropora cervicornis,87,17369.1,19208.8,346.51,0.0,157.5,
88,2022-07-12,Acropora cervicornis,88,13497.3,17906.5,744.61,0.0,168.8,
89,2022-07-12,Acropora cervicornis,89,11958.3,19244.9,621.36,0.0,214.2,
90,2022-07-12,Acropora cervicornis,90,11855.6,18453.5,581.03,0.0,236.5,
91,2022-07-12,Acropora cervicornis,91,12695.3,19234.5,443.29,0.0,214.3,
92,2022-07-12,Acropora cervicornis,92,13195.4,19123.7,405.58,0.0,144.4,
93,2022-07-12,Acropora cervicornis,93,13029.4,18496.0,608.46,0.0,159.5,
94,2022-07-12,Acropora cervicornis,94,9267.7,18207.0,527.64,0.0,138.1,
95,2022-07-12,Acropora cervicornis,95,8115.1,17773.5,529.33,0.0,174.3,
96,2022-07-12,Acropora cervicornis,96,7492.8,18501.8,590.91,0.0,207.6,
97,2022-07-12,Acropora cervicornis,97,7156.4,19225.9,458.93,0.0,189.3,
