TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note,timePoint
0,8/18/2020,Porites astreoides,0,7327.3,2838.9,35.66,0,23.4,,T0
1,8/18/2020,Porites astreoides,1,12531.3,2140,19.68,0,22.3,,T0
4,8/18/2020,Siderastrea siderea,4,11243.9,3961.8,4.4,0,8.2,,T0
5,8/18/2020,Siderastrea siderea,5,10184.4,4183.7,10.38,0,14.4,,T0
6,8/18/2020,Porites astreoides,6,10359.8,3507,12.6,0,20.7,,T0
7,8/18/2020,Siderastrea siderea,7,13469.1,3612.9,57.07,0,32.9,,T0
8,8/18/2020,Siderastrea siderea,8,14686.9,3710.9,40.26,0,26.1,,T0
9,8/18/2020,Siderastrea siderea,9,16590.4,2347.9,5.55,0,10.9,,T0
10,8/18/2020,Siderastrea siderea,10,17610.9,2250.6,28.78,0,22.7,,T0
11,8/18/2020,Siderastrea siderea,11,16554.4,3466.9,1.38,0,4.5,,T0
12,8/18/2020,Siderastrea siderea,12,19175.1,3032.7,1.53,0,7,,T0
13,8/18/2020,Porites astreoides,13,25635,2102.3,13.66,0,15.3,,T0
15,8/18/2020,Siderastrea siderea,15,26422.2,2472.2,16.9,0,16,,T0
14,8/18/2020,Siderastrea siderea,14,24954.3,4685.6,12.7,0,16.1,,T0
17,8/18/2020,Siderastrea siderea,17,29542.1,2565,21.64,0,19,,T0
19,8/18/2020,Siderastrea siderea,19,27274.9,3486.6,33.88,0,29.4,,T0
18,8/18/2020,Siderastrea siderea,18,2951.3,5703.6,12.46,0,18.7,,T0
20,8/18/2020,Siderastrea siderea,20,2730.1,6201.4,8.99,0,17.8,,T0
21,8/18/2020,Siderastrea siderea,21,6887.9,6283.5,4.54,0,10.4,,T0
22,8/18/2020,Siderastrea siderea,22,10218.6,7467.7,7.26,0,11.3,,T0
23,8/18/2020,Siderastrea siderea,23,14785.3,5256,9.01,0,17.3,,T0
24,8/18/2020,Siderastrea siderea,24,15498.5,6923.3,15.72,0,15.8,,T0
25,8/18/2020,Porites astreoides,25,17255.6,7696.7,28.24,0,20.7,,T0
26,8/18/2020,Siderastrea siderea,26,15917.3,6830.6,10.86,0,17.5,,T0
27,8/18/2020,Stephanocoenia intersepta,27,19810.7,5734.2,6.75,0,13.8,,T0
28,8/18/2020,Siderastrea siderea,28,19782.1,6060.2,14.97,0,17.2,,T0
29,8/18/2020,Siderastrea siderea,29,20776,7492.1,36.31,0,24.6,,T0
30,8/18/2020,Porites astreoides,30,23124.8,4858.9,5.88,0,9.3,,T0
31,8/18/2020,Siderastrea siderea,31,24734,6413,18.19,0,16.9,,T0
32,8/18/2020,Stephanocoenia intersepta,32,28172.1,7076.7,5.6,0,9.6,,T0
33,8/18/2020,Porites astreoides,33,4124.9,8595.9,111.72,0,51.8,,T0
34,8/18/2020,Porites astreoides,34,4631.9,7816.2,12.23,0,15.9,,T0
35,8/18/2020,Siderastrea siderea,35,9688.9,9020.3,42.93,0,25.9,,T0
36,8/18/2020,Porites astreoides,36,9236.6,9298,14.01,0,18.6,,T0
37,8/18/2020,Siderastrea siderea,37,11026.2,8221.4,4.05,0,8,,T0
38,8/18/2020,Siderastrea siderea,38,12929.9,8123.4,30.54,0,23.4,,T0
39,8/18/2020,Siderastrea siderea,39,12818.3,9855,5.14,0,11.4,,T0
40,8/18/2020,Porites astreoides,40,12458.7,9979.7,25.31,0,20.8,,T0
41,8/18/2020,Siderastrea siderea,41,11541.1,8760.7,11.75,0,15,,T0
42,8/18/2020,Porites astreoides,42,11222,9377.7,61.09,0,33,,T0
43,8/18/2020,Empty,43,10865.9,9850.4,2.75,0,6.6,,T0
44,8/18/2020,Porites astreoides,44,10997.9,9350.2,24.11,0,20.7,,T0
45,8/18/2020,Siderastrea siderea,45,13336.6,10035.5,90.64,0,37.4,,T0
46,8/18/2020,Siderastrea siderea,46,14466.5,9227.1,10.66,0,14.1,,T0
48,8/18/2020,Siderastrea siderea,48,15481.6,7904.3,48.88,0,30.6,,T0
47,8/18/2020,Siderastrea siderea,47,15704.9,7887.4,62.22,0,31.1,,T0
49,8/18/2020,Porites astreoides,49,18283.2,8846.5,6.63,0,10.3,,T0
50,8/18/2020,Siderastrea siderea,50,19563.4,8865.1,52.12,0,29.9,,T0
51,8/18/2020,Siderastrea siderea,51,25001.4,8270.3,4.43,0,8.3,,T0
52,8/18/2020,Siderastrea siderea,52,26749.1,9733.4,12.59,0,17.1,,T0
53,8/18/2020,Empty,53,29480.6,8682.9,6.19,0,9.5,,T0
54,8/18/2020,Porites astreoides,54,28692.4,8323.5,29.81,0,29.9,,T0
55,8/18/2020,Porites astreoides,55,27694.8,9986.7,53.19,0,29.1,,T0
56,8/18/2020,Porites astreoides,56,2631.7,11480.5,36.77,0,38.6,,T0
57,8/18/2020,Siderastrea siderea,57,2837.7,11756.4,10.43,0,14.3,,T0
58,8/18/2020,Siderastrea siderea,58,4677.6,11055,60.2,0,30.9,,T0
59,8/18/2020,Siderastrea siderea,59,6389.1,10976.6,16.91,0,16.5,,T0
60,8/18/2020,Porites astreoides,60,4819.3,13024.2,16.39,0,15.8,,T0
61,8/18/2020,Siderastrea siderea,61,7452.8,11085.4,4.19,0,10.2,,T0
62,8/18/2020,Porites astreoides,62,7459.1,11856.9,15.45,0,16.8,,T0
63,8/18/2020,Porites astreoides,63,7957.5,13328.3,32.67,0,25.2,,T0
65,8/18/2020,Porites astreoides,65,12304,10714.4,20.92,0,19.2,,T0
64,8/18/2020,Siderastrea siderea,64,12191.3,10694.8,9.19,0,11.6,,T0
66,8/18/2020,Siderastrea siderea,66,11905.4,11370.4,9.2,0,12.8,,T0
67,8/18/2020,Siderastrea siderea,67,11990.1,11449.5,6.02,0,11,,T0
68,8/18/2020,Porites astreoides,68,11111.1,11478.8,9.58,0,12.7,,T0
69,8/18/2020,Porites astreoides,69,10904.8,11194.4,11.01,0,14.4,,T0
70,8/18/2020,Siderastrea siderea,70,11385.9,13096.9,8.82,0,12.1,,T0
71,8/18/2020,Siderastrea siderea,71,12127,12678.1,20.64,0,21.1,,T0
72,8/18/2020,Siderastrea siderea,72,15527.5,11930.6,14.32,0,15.3,,T0
73,8/18/2020,Empty,73,16446.6,11050.6,3.33,0,7.7,,T0
74,8/18/2020,Porites astreoides,74,16235.7,11318.1,10.36,0,13.7,,T0
75,8/18/2020,Porites astreoides,75,16407.1,11344.5,13.44,0,17.4,,T0
76,8/18/2020,Porites astreoides,76,16485.1,11451.9,8.75,0,14,,T0
77,8/18/2020,Porites astreoides,77,16888.6,11728.7,51.39,0,29,,T0
78,8/18/2020,Siderastrea siderea,78,18704.3,10690.2,13.72,0,15.4,,T0
79,8/18/2020,Porites astreoides,79,21439.2,11658.1,35.6,0,26.6,,T0
80,8/18/2020,Porites astreoides,80,23550.7,11673.7,34.61,0,24.4,,T0
81,8/18/2020,Porites astreoides,81,26558,11065,45.52,0,27.2,,T0
