TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2020-08-18,Porites astreoides,0,5987.4,2945.8,26.76,0.0,26.2,
1,2020-08-18,Siderastrea siderea,1,8800.6,2225.5,55.37,0.0,29.1,
2,2020-08-18,Siderastrea siderea,2,9828.5,3179.3,5.52,0.0,9.5,
3,2020-08-18,Siderastrea siderea,3,12986.5,1702.7,10.75,0.0,14.0,
4,2020-08-18,Stephanocoenia intersepta,4,21857.3,2383.5,12.5,0.0,24.8,
5,2020-08-18,Porites astreoides,5,23434.5,2460.8,6.57,0.0,10.4,
6,2020-08-18,Siderastrea siderea,6,28700.2,3644.8,3.36,0.0,12.3,
7,2020-08-18,Orbicella faveolata,7,28645.9,5309.5,18.32,0.0,16.8,
8,2020-08-18,Porites astreoides,8,28252.8,5941.8,11.53,0.0,13.3,
9,2020-08-18,Porites astreoides,9,26498.7,6016.5,2.88,0.0,6.9,
10,2020-08-18,Siderastrea siderea,10,22394.2,3673.3,2.38,0.0,6.4,
11,2020-08-18,Siderastrea siderea,11,20553.4,4990.1,12.58,0.0,15.0,
12,2020-08-18,Porites astreoides,12,22117.5,4661.5,5.96,0.0,10.5,
13,2020-08-18,Siderastrea siderea,13,18308.0,6197.6,28.62,0.0,37.0,
14,2020-08-18,Porites astreoides,14,15577.7,6443.1,5.63,0.0,10.1,
15,2020-08-18,Siderastrea siderea,15,17653.8,4234.9,7.2,0.0,10.9,
16,2020-08-18,Siderastrea siderea,16,16235.0,6742.4,20.31,0.0,19.1,
17,2020-08-18,Porites astreoides,17,13971.5,3376.3,10.19,0.0,14.2,
18,2020-08-18,Siderastrea siderea,18,13459.3,6191.5,41.81,0.0,56.5,
20,2020-08-18,Siderastrea siderea,20,9908.3,6167.2,11.49,0.0,14.7,
21,2020-08-18,Porites astreoides,21,4190.2,3502.6,14.77,0.0,17.8,
22,2020-08-18,Siderastrea siderea,22,2846.8,5869.4,12.63,0.0,19.4,
23,2020-08-18,Stephanocoenia intersepta,23,2434.9,8889.9,18.31,0.0,27.1,
24,2020-08-18,Siderastrea siderea,24,2657.1,6824.3,14.88,0.0,16.2,
25,2020-08-18,Siderastrea siderea,25,3605.4,9210.4,1.33,0.0,4.6,
27,2020-08-18,Porites astreoides,27,4257.0,7989.0,17.83,0.0,16.3,
28,2020-08-18,Siderastrea siderea,28,7308.4,7738.6,4.98,0.0,9.4,
31,2020-08-18,Siderastrea siderea,31,9707.1,9808.9,25.56,0.0,27.5,
32,2020-08-18,Siderastrea siderea,32,9689.8,8711.9,0.95,0.0,3.8,
33,2020-08-18,Porites astreoides,33,9275.5,7423.8,23.07,0.0,21.7,
34,2020-08-18,Siderastrea siderea,34,10631.1,7294.8,5.36,0.0,11.2,
35,2020-08-18,Siderastrea siderea,35,10860.8,8075.8,6.64,0.0,10.8,
36,2020-08-18,Siderastrea siderea,36,15226.5,8006.7,38.29,0.0,31.8,
37,2020-08-18,Stephanocoenia intersepta,37,17437.0,8260.9,7.7,0.0,23.8,
38,2020-08-18,Siderastrea siderea,38,22669.0,9523.7,26.98,0.0,20.5,
39,2020-08-18,Porites astreoides,39,21963.2,8616.2,4.2,0.0,7.9,
40,2020-08-18,Porites astreoides,40,22048.8,8618.0,4.35,0.0,8.6,
41,2020-08-18,Siderastrea siderea,41,26203.8,8302.0,2.74,0.0,7.3,
42,2020-08-18,Porites astreoides,42,25588.8,8923.8,17.35,0.0,16.0,
43,2020-08-18,Porites astreoides,43,26353.0,9531.7,33.28,0.0,26.6,
44,2020-08-18,Siderastrea siderea,44,27780.7,7197.0,9.81,0.0,16.6,
45,2020-08-18,Siderastrea siderea,45,28679.8,7662.9,34.39,0.0,40.2,
