TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
1,2021-06-15,Porites astreoides,1,2553.8,2782.7,3.34,0.0,7.1,
2,2021-06-15,Porites astreoides,2,7582.8,4184.5,14.96,0.0,18.0,
4,2021-06-15,Porites astreoides,4,9837.8,3268.1,8.71,0.0,11.4,
3,2021-06-15,Porites astreoides,3,7964.9,4066.5,29.84,0.0,22.6,
5,2021-06-15,Porites astreoides,5,15963.7,2986.0,25.66,0.0,20.8,
6,2021-06-15,Porites astreoides,6,18933.5,3939.7,35.86,0.0,31.2,
7,2021-06-15,Porites astreoides,7,20862.0,1860.9,27.41,0.0,22.8,
8,2021-06-15,Porites astreoides,8,26020.8,1803.2,11.56,0.0,15.4,
10,2021-06-15,Porites astreoides,10,26081.8,2098.2,7.1,0.0,11.8,
11,2021-06-15,Siderastrea siderea,11,24901.3,2975.5,5.43,0.0,10.3,
9,2021-06-15,Porites astreoides,9,25084.3,4422.6,22.82,0.0,20.3,
12,2021-06-15,Porites astreoides,12,28483.0,2007.2,4.26,0.0,8.3,
13,2021-06-15,Porites astreoides,13,28364.3,5406.8,21.97,0.0,18.8,
14,2021-06-15,Porites astreoides,14,28549.1,5339.4,13.38,0.0,14.2,
15,2021-06-15,Montastraea cavernosa,15,21138.4,6588.8,2.8,0.0,7.0,
16,2021-06-15,Stephanocoenia intersepta,16,17723.2,5473.8,9.66,0.0,17.1,
17,2021-06-15,Stephanocoenia intersepta,17,17645.8,5499.3,0.85,0.0,4.2,
18,2021-06-15,Porites astreoides,18,13911.5,6875.4,8.28,0.0,11.1,
19,2021-06-15,Porites astreoides,19,11280.5,4433.3,7.23,0.0,11.2,
21,2021-06-15,Siderastrea siderea,21,13001.5,5615.1,13.64,0.0,14.7,
20,2021-06-15,Porites astreoides,20,11025.3,6576.5,20.41,0.0,20.9,
22,2021-06-15,Siderastrea siderea,22,7804.9,6483.2,15.33,0.0,22.8,
23,2021-06-15,Siderastrea siderea,23,10323.3,4548.8,60.43,0.0,61.9,
25,2021-06-15,Stephanocoenia intersepta,25,7239.3,4547.2,4.6,0.0,8.3,
24,2021-06-15,Porites astreoides,24,3444.9,5689.7,8.42,0.0,15.6,
26,2021-06-15,Porites astreoides,26,5938.1,8184.4,10.25,0.0,13.9,
27,2021-06-15,Porites astreoides,27,7540.6,9926.4,23.69,0.0,22.2,
28,2021-06-15,Porites astreoides,28,8952.3,9812.9,12.38,0.0,15.5,
29,2021-06-15,Porites astreoides,29,9227.3,10143.3,44.48,0.0,27.5,
30,2021-06-15,Porites astreoides,30,14611.1,8441.5,81.55,0.0,36.7,
0,2021-06-15,Pseudodiploria strigosa,0,15498.5,7886.4,957.59,0.0,225.3,
33,2021-06-15,Porites astreoides,33,16752.1,8402.3,124.2,0.0,52.4,
32,2021-06-15,Siderastrea siderea,32,16666.6,8598.9,3.57,0.0,11.4,
31,2021-06-15,Porites astreoides,31,16479.2,9291.0,4.45,0.0,8.9,
