TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2021-06-16,Siderastrea siderea,0,407.0,793.9,4.37,0.0,8.3,
1,2021-06-16,Porites astreoides,1,1412.1,837.0,7.2,0.0,13.6,
2,2021-06-16,Siderastrea siderea,2,3197.0,2320.2,46.15,0.0,48.0,
3,2021-06-16,Porites astreoides,3,4746.8,2242.5,13.35,0.0,15.1,
4,2021-06-16,Porites astreoides,4,4830.5,607.2,7.93,0.0,14.7,
6,2021-06-16,Porites astreoides,6,7220.9,3058.8,27.03,0.0,24.1,
5,2021-06-16,Porites astreoides,5,7571.7,971.9,19.56,0.0,18.9,
7,2021-06-16,Siderastrea siderea,7,9972.2,2136.9,11.12,0.0,15.2,
8,2021-06-16,Dichocoenia stokesi,8,13224.3,1319.0,8.33,0.0,11.1,
9,2021-06-16,Siderastrea siderea,9,19380.9,1902.8,5.2,0.0,11.2,
11,2021-06-16,Siderastrea siderea,11,19899.2,2490.6,5.25,0.0,10.3,
10,2021-06-16,Siderastrea siderea,10,19697.9,2316.0,6.18,0.0,17.6,
12,2021-06-16,Porites astreoides,12,28214.4,2971.6,6.84,0.0,10.4,
13,2021-06-16,Porites astreoides,13,30120.0,2391.1,40.85,0.0,41.7,
14,2021-06-16,Porites astreoides,14,30773.2,3513.0,7.35,0.0,11.0,
16,2021-06-16,Porites astreoides,16,32130.2,5737.1,4.77,0.0,9.8,
15,2021-06-16,Porites astreoides,15,29621.3,4093.9,44.99,0.0,26.6,
17,2021-06-16,Porites astreoides,17,25779.0,4985.3,130.96,0.0,52.5,
18,2021-06-16,Siderastrea siderea,18,25668.9,4653.9,14.45,0.0,18.2,
20,2021-06-16,Stephanocoenia intersepta,20,22791.5,3786.4,5.0,0.0,8.6,
19,2021-06-16,Porites astreoides,19,22097.6,5244.4,22.15,0.0,26.6,
21,2021-06-16,Siderastrea siderea,21,17993.3,3209.8,2.44,0.0,6.2,
22,2021-06-16,Siderastrea siderea,22,18103.3,3212.3,2.92,0.0,7.6,
23,2021-06-16,Siderastrea siderea,23,18167.6,3402.2,10.77,0.0,21.0,
25,2021-06-16,Siderastrea siderea,25,14899.2,5266.9,5.2,0.0,10.8,
26,2021-06-16,Porites astreoides,26,17005.3,4443.6,5.52,0.0,14.0,
24,2021-06-16,Siderastrea siderea,24,15627.4,3105.0,1.59,0.0,6.8,
28,2021-06-16,Porites astreoides,28,13115.7,5718.1,1.9,0.0,5.8,
27,2021-06-16,Siderastrea siderea,27,13333.1,3775.5,12.96,0.0,16.6,
30,2021-06-16,Siderastrea siderea,30,10031.7,3153.7,3.93,0.0,13.2,
29,2021-06-16,Siderastrea siderea,29,10121.5,3381.6,3.08,0.0,7.1,
31,2021-06-16,Porites astreoides,31,9948.0,4977.8,27.12,0.0,21.8,
32,2021-06-16,Porites astreoides,32,4387.0,5696.6,7.78,0.0,10.8,
33,2021-06-16,Siderastrea siderea,33,5496.2,5821.9,25.04,0.0,24.2,
34,2021-06-16,Porites astreoides,34,1817.4,5245.0,2.52,0.0,6.6,
35,2021-06-16,Stephanocoenia intersepta,35,2278.0,5353.3,2.86,0.0,6.7,
36,2021-06-16,Siderastrea siderea,36,2120.2,3984.8,1.36,0.0,4.5,
38,2021-06-16,Siderastrea siderea,38,2487.0,7993.4,13.22,0.0,14.0,
39,2021-06-16,Siderastrea siderea,39,2503.2,7730.4,3.15,0.0,7.1,
40,2021-06-16,Stephanocoenia intersepta,40,2844.6,6993.8,5.91,0.0,10.0,
37,2021-06-16,Porites astreoides,37,1109.0,6297.1,11.9,0.0,27.3,
41,2021-06-16,Siderastrea siderea,41,4001.5,6368.5,16.32,0.0,15.7,
42,2021-06-16,Siderastrea siderea,42,3341.7,7490.1,14.87,0.0,18.9,
43,2021-06-16,Porites astreoides,43,3764.3,7564.9,22.34,0.0,32.6,
45,2021-06-16,Porites astreoides,45,5596.3,8811.9,16.83,0.0,18.5,
44,2021-06-16,Porites astreoides,44,5565.1,8549.6,71.91,0.0,44.0,
46,2021-06-16,Porites astreoides,46,6247.9,8339.7,22.51,0.0,19.0,
48,2021-06-16,Porites astreoides,48,13655.2,8629.4,2.65,0.0,6.7,
47,2021-06-16,Diploria labyrinthiformis,47,12824.4,6518.3,33.03,0.0,22.1,
49,2021-06-16,Porites astreoides,49,15911.3,6890.5,43.78,0.0,27.2,
51,2021-06-16,Porites astreoides,51,16504.7,6965.2,34.21,0.0,27.2,
52,2021-06-16,Siderastrea siderea,52,16733.1,7065.8,4.52,0.0,8.9,
53,2021-06-16,Porites astreoides,53,17263.4,6849.4,28.09,0.0,23.1,
54,2021-06-16,Siderastrea siderea,54,17411.3,6793.2,12.45,0.0,16.1,
50,2021-06-16,Porites astreoides,50,15236.8,8393.8,35.73,0.0,30.1,
55,2021-06-16,Porites astreoides,55,18237.6,6169.7,25.23,0.0,20.1,
56,2021-06-16,Siderastrea siderea,56,18223.8,7781.3,10.07,0.0,17.2,
57,2021-06-16,Siderastrea siderea,57,17958.0,8910.6,32.77,0.0,22.5,
58,2021-06-16,Porites astreoides,58,18919.4,8644.4,47.66,0.0,38.5,
59,2021-06-16,Porites astreoides,59,19137.5,8691.7,18.25,0.0,30.4,
60,2021-06-16,Porites astreoides,60,21529.6,8311.2,5.97,0.0,13.4,
61,2021-06-16,Porites astreoides,61,26617.1,6365.5,26.91,0.0,20.8,
62,2021-06-16,Pseudodiploria strigosa,62,27653.3,8768.2,11.43,0.0,14.7,
63,2021-06-16,Siderastrea siderea,63,31715.0,10922.9,10.27,0.0,19.0,
65,2021-06-16,Porites astreoides,65,28675.0,9332.6,11.18,0.0,17.7,
