TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note,timePoint
0,12/8/2021,Siderastrea siderea,207,5999.8,3631,60.41,0,31.2,,T12
2,12/8/2021,Acropora cervicornis,209,6631.4,4026.6,179.04,0,125.3,,T12
3,12/8/2021,Siderastrea siderea,210,6403.7,4461.7,40.12,0,28.3,,T12
4,12/8/2021,Siderastrea siderea,0,7731.2,4374.9,218.47,0,58.7,,T12
5,12/8/2021,Porites astreoides,212,7905.4,4329.5,15.99,0,15.6,,T12
6,12/8/2021,Siderastrea siderea,206,7938.6,4713.6,22.66,0,23.5,,T12
7,12/8/2021,Acropora cervicornis,214,8010.6,5135.6,159.7,0,129,,T12
8,12/8/2021,Siderastrea siderea,215,10113.9,3740.4,26.81,0,20.1,,T12
9,12/8/2021,Acropora cervicornis,216,10894.7,3881.9,237.91,0,198.1,,T12
10,12/8/2021,Siderastrea siderea,13,11294.8,3979,83.45,0,41.5,,T12
11,12/8/2021,Siderastrea siderea,218,12365,3677.1,20.85,0,28,,T12
12,12/8/2021,Siderastrea siderea,205,14626.3,3933.5,48.97,0,34.9,,T12
13,12/8/2021,Siderastrea siderea,21,20186.3,4721.8,63.08,0,34.4,,T12
14,12/8/2021,Porites astreoides,7,22154.7,3868.9,42.2,0,25.7,,T12
15,12/8/2021,Siderastrea siderea,8,23170.1,3730.1,58.26,0,31.2,,T12
16,12/8/2021,Siderastrea siderea,223,22739.6,5111.3,71.14,0,34.7,,T12
17,12/8/2021,Acropora cervicornis,224,23161.3,5202.2,415.18,0,354.6,,T12
18,12/8/2021,Acropora cervicornis,225,21780.4,5428.4,237.73,0,174.6,,T12
19,12/8/2021,Siderastrea siderea,46,21064.7,5800.6,72.64,0,41.1,,T12
21,12/8/2021,Acropora cervicornis,228,20033.2,5245.2,502.17,0,383.6,,T12
20,12/8/2021,Siderastrea siderea,45,18897.3,6000.5,34.16,0,22.8,,T12
22,12/8/2021,Siderastrea siderea,28,15049.2,5393.3,35.98,0,24.8,,T12
23,12/8/2021,Siderastrea siderea,44,14566.9,5619.2,122.88,0,66.1,,T12
24,12/8/2021,Siderastrea siderea,231,12546.8,4565.4,70.49,0,38.6,,T12
25,12/8/2021,Siderastrea siderea,33,12475.2,4986.4,39.34,0,24.9,,T12
26,12/8/2021,Siderastrea siderea,233,9400.4,4702.7,5.14,0,10.5,,T12
27,12/8/2021,Siderastrea siderea,234,9486.7,4697.7,7.69,0,12.5,,T12
28,12/8/2021,Acropora cervicornis,235,5535.1,5050.5,19.62,0,28.1,,T12
29,12/8/2021,Acropora cervicornis,236,6198.7,5687.6,20.9,0,33,,T12
30,12/8/2021,Siderastrea siderea,35,6197,5814.5,39.93,0,34.4,,T12
31,12/8/2021,Porites astreoides,238,5958.4,5751.5,30.91,0,24.7,,T12
32,12/8/2021,Acropora cervicornis,239,6578.3,5455.9,236.19,0,200.6,,T12
33,12/8/2021,Siderastrea siderea,34,6955.2,5643,89.45,0,38.6,,T12
34,12/8/2021,Acropora cervicornis,241,9243.8,5704.3,308.92,0,180,,T12
35,12/8/2021,Siderastrea siderea,242,11549.4,5100.2,13.49,0,14.8,,T12
36,12/8/2021,Siderastrea siderea,243,11510.7,5202.5,12.19,0,14.7,,T12
37,12/8/2021,Siderastrea siderea,244,11467.6,5295.3,4.19,0,9.6,,T12
38,12/8/2021,Siderastrea siderea,245,11600.6,5408.2,4.25,0,8.2,,T12
39,12/8/2021,Siderastrea siderea,31,12685,5365.1,47.09,0,28.7,,T12
40,12/8/2021,Siderastrea siderea,32,12630.7,5443.3,14.29,0,17.9,,T12
41,12/8/2021,Acropora cervicornis,248,22014.3,5964.4,131.45,0,77.4,,T12
42,12/8/2021,Acropora cervicornis,249,23100,6420.3,408.63,0,270.4,,T12
43,12/8/2021,Siderastrea siderea,50,25182.8,6705.6,91.69,0,37.5,,T12
44,12/8/2021,Orbicella faveolata,49,21894.9,6361.9,44.07,0,34.6,,T12
45,12/8/2021,Acropora cervicornis,252,11531.8,6117.9,361.94,0,289.5,,T12
46,12/8/2021,Siderastrea siderea,253,8227.7,5969.3,8.87,0,15.2,,T12
47,12/8/2021,Siderastrea siderea,39,8218,6128.8,156.67,0,64.5,,T12
48,12/8/2021,Acropora cervicornis,255,8727,7193.3,19.77,0,29,,T12
49,12/8/2021,Acropora cervicornis,256,8720.5,6852.1,297.3,0,190.5,,T12
50,12/8/2021,Acropora cervicornis,257,10082.2,6894,259.4,0,126.4,,T12
51,12/8/2021,Acropora cervicornis,258,9858.7,6899.2,6.62,0,12,,T12
52,12/8/2021,Siderastrea siderea,58,17232.7,7304.3,90.56,0,38.2,,T12
53,12/8/2021,Acropora cervicornis,260,17688.6,7268.1,490.3,0,382.3,,T12
54,12/8/2021,Siderastrea siderea,57,9710,7341.7,53.47,0,30.6,,T12
55,12/8/2021,Acropora cervicornis,262,9677.2,7612.5,24.01,0,30.5,,T12
56,12/8/2021,Acropora cervicornis,263,9506,7730.5,30.69,0,41.3,,T12
57,12/8/2021,Acropora cervicornis,264,9597.6,7796.3,6.01,0,10.2,,T12
58,12/8/2021,Acropora cervicornis,265,9605.4,8026.2,170.82,0,109.1,,T12
59,12/8/2021,Acropora cervicornis,266,11215.5,7725.9,225.97,0,177,,T12
60,12/8/2021,Pseudodiploria strigosa,60,13654.8,8222.5,60.42,0,32.3,,T12
61,12/8/2021,Siderastrea siderea,85,16015.9,8223.1,105.72,0,42.9,,T12
62,12/8/2021,Siderastrea siderea,269,15132.3,8304.9,13.27,0,17.4,,T12
63,12/8/2021,Acropora cervicornis,270,18833.7,8121.4,641.97,0,329.9,,T12
64,12/8/2021,Acropora cervicornis,271,20238.6,7179.9,575.07,0,316,,T12
65,12/8/2021,Siderastrea siderea,59,21519.1,7528.5,57.78,0,33.1,,T12
67,12/8/2021,Acropora cervicornis,274,22454.3,8136.4,462.11,0,257,,T12
66,12/8/2021,Acropora cervicornis,273,21478.5,8348.1,48.84,0,57,,T12
68,12/8/2021,Acropora cervicornis,275,20660.6,8354,498.81,0,411.9,,T12
69,12/8/2021,Siderastrea siderea,93,19985.2,8894.1,236.46,0,79.1,,T12
70,12/8/2021,Acropora cervicornis,277,19922.8,9358.7,119.69,0,110.4,,T12
71,12/8/2021,Siderastrea siderea,278,17746.3,8966.9,3.12,0,9.1,,T12
73,12/8/2021,Siderastrea siderea,280,17657.3,9123.2,2.25,0,7.4,,T12
72,12/8/2021,Siderastrea siderea,86,17837.2,9191.7,151.1,0,92.9,,T12
74,12/8/2021,Porites astreoides,89,17992.6,9304.4,14.85,0,14.8,,T12
75,12/8/2021,Acropora cervicornis,282,17471.2,9522.2,584.01,0,490.7,,T12
76,12/8/2021,Siderastrea siderea,283,13101.9,8887.3,60.61,0,43.6,,T12
77,12/8/2021,Dichocoenia stokesi,284,10756,9247.5,11.4,0,13.3,,T12
78,12/8/2021,Siderastrea siderea,285,7358.9,9335.9,43.41,0,32.9,,T12
79,12/8/2021,Siderastrea siderea,286,6335.4,9340,17.13,0,16,,T12
80,12/8/2021,Siderastrea siderea,287,6226,9307.2,31.41,0,22.1,,T12
81,12/8/2021,Siderastrea siderea,288,6151.8,9875.2,40.2,0,24.3,,T12
82,12/8/2021,Siderastrea siderea,107,10615.1,10448.1,20.8,0,28.4,,T12
83,12/8/2021,Siderastrea siderea,290,15115.8,10132.4,9.89,0,12.2,,T12
84,12/8/2021,Siderastrea siderea,291,17048.1,10452.7,15.97,0,17.2,,T12
