TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
2,2022-07-11,Porites astreoides,386,2450.5,144.5,24.4,0.0,20.1,
5,2022-07-11,Porites astreoides,389,4707.3,2894.4,101.44,0.0,39.2,
8,2022-07-11,Porites astreoides,392,8597.9,60.6,36.72,0.0,26.1,
10,2022-07-11,Stephanocoenia intersepta,394,6894.6,2367.3,5.19,0.0,9.7,
7,2022-07-11,Porites astreoides,391,7652.5,87.9,75.11,0.0,53.5,
11,2022-07-11,Porites astreoides,395,10342.8,65.9,5.31,0.0,9.7,
15,2022-07-11,Porites astreoides,399,13385.1,490.7,7.98,0.0,11.1,
17,2022-07-11,Porites astreoides,401,14266.5,203.7,4.87,0.0,8.8,
19,2022-07-11,Porites astreoides,403,22798.7,2840.9,7.44,0.0,10.9,
21,2022-07-11,Porites astreoides,405,23748.4,115.2,5.14,0.0,8.8,
23,2022-07-11,Porites astreoides,407,26144.3,234.1,2.01,0.0,6.3,
25,2022-07-11,Porites astreoides,409,25403.7,264.6,3.26,0.0,7.8,
26,2022-07-11,Porites astreoides,410,26382.6,1756.6,1.96,0.0,6.6,
0,2022-07-11,Porites astreoides,384,2479.2,2208.5,17.87,0.0,15.9,
1,2022-07-11,Porites astreoides,385,1917.8,1253.1,11.22,0.0,14.1,
3,2022-07-11,Porites astreoides,387,2161.9,86.3,18.86,0.0,17.5,
4,2022-07-11,Siderastrea siderea,388,4194.8,2876.9,40.44,0.0,28.3,
6,2022-07-11,Siderastrea siderea,390,5657.0,1613.7,31.97,0.0,27.0,
12,2022-07-11,Porites astreoides,396,9145.5,2506.7,10.06,0.0,17.7,
14,2022-07-11,Porites astreoides,398,11492.2,934.4,15.44,0.0,16.9,
13,2022-07-11,Siderastrea siderea,397,11486.1,3065.4,56.11,0.0,30.5,
16,2022-07-11,Porites astreoides,400,13946.9,1262.7,7.67,0.0,11.0,
18,2022-07-11,Siderastrea siderea,402,16163.5,217.1,99.16,0.0,59.1,
20,2022-07-11,Porites porites,404,23350.4,2710.7,17.33,0.0,21.9,
24,2022-07-11,Porites astreoides,408,25577.5,886.5,10.06,0.0,12.5,
22,2022-07-11,Porites astreoides,406,24930.9,743.0,5.63,0.0,9.2,
30,2022-07-11,Porites astreoides,414,27990.1,834.4,1.91,0.0,5.4,
32,2022-07-11,Porites astreoides,416,29072.3,1386.0,2.9,0.0,6.5,
34,2022-07-11,Porites astreoides,418,28404.6,1184.5,2.25,0.0,6.0,
31,2022-07-11,Porites astreoides,415,29166.4,629.7,15.93,0.0,17.4,
33,2022-07-11,Porites astreoides,417,29473.0,1468.9,38.11,0.0,42.4,
27,2022-07-11,Siderastrea siderea,411,26905.7,1997.1,28.96,0.0,23.1,
29,2022-07-11,Porites astreoides,413,27609.8,2535.5,4.98,0.0,9.8,
28,2022-07-11,Siderastrea siderea,412,27183.8,2097.0,1.36,0.0,4.7,
35,2022-07-11,Porites astreoides,419,30567.8,2170.4,3.71,0.0,8.0,
36,2022-07-11,Siderastrea siderea,420,30711.1,2480.9,44.44,0.0,28.6,
37,2022-07-11,Siderastrea siderea,421,27350.7,5355.1,14.38,0.0,19.1,
38,2022-07-11,Porites astreoides,422,24977.0,3832.9,14.23,0.0,15.1,
41,2022-07-11,Porites astreoides,425,25407.9,3355.4,4.77,0.0,9.0,
39,2022-07-11,Stephanocoenia intersepta,423,24675.7,4272.6,3.62,0.0,8.1,
40,2022-07-11,Stephanocoenia intersepta,424,25695.8,4696.3,3.04,0.0,7.3,
43,2022-07-11,Porites astreoides,427,19144.4,4653.7,21.68,0.0,22.5,
45,2022-07-11,Siderastrea siderea,429,19905.1,3258.6,1.6,0.0,5.5,
42,2022-07-11,Siderastrea siderea,426,18042.4,4372.6,1.25,0.0,4.7,
44,2022-07-11,Stephanocoenia intersepta,428,19723.5,5862.4,7.86,0.0,16.1,
47,2022-07-11,Porites astreoides,431,16776.4,3028.0,5.12,0.0,8.9,
46,2022-07-11,Siderastrea siderea,430,16934.1,4743.0,29.14,0.0,25.6,
48,2022-07-11,Porites astreoides,432,13436.3,3357.5,3.86,0.0,7.4,
49,2022-07-11,Siderastrea siderea,433,12981.5,3842.9,5.92,0.0,10.1,
50,2022-07-11,Porites astreoides,434,14313.5,5467.1,4.99,0.0,8.7,
51,2022-07-11,Porites astreoides,435,14327.5,5138.4,28.09,0.0,28.1,
52,2022-07-11,Porites astreoides,436,14078.7,3084.1,36.92,0.0,23.9,
53,2022-07-11,Porites astreoides,437,6117.5,3715.0,6.43,0.0,9.7,
54,2022-07-11,Porites astreoides,438,8205.8,5786.7,4.95,0.0,8.9,
55,2022-07-11,Porites astreoides,439,7639.0,4048.3,7.15,0.0,10.4,
9,2022-07-11,Stephanocoenia intersepta,393,6423.3,3015.6,6.75,0.0,15.9,
57,2022-07-11,Porites astreoides,441,5266.8,4925.8,1.74,0.0,6.5,
59,2022-07-11,Porites astreoides,443,5201.0,4049.4,3.26,0.0,6.9,
58,2022-07-11,Porites astreoides,442,5762.6,4722.4,2.65,0.0,12.3,
56,2022-07-11,Siderastrea siderea,440,3553.6,3611.0,52.7,0.0,47.9,
61,2022-07-11,Porites astreoides,445,1029.9,5428.4,2.21,0.0,5.7,
62,2022-07-11,Porites astreoides,446,2052.8,5807.8,5.68,0.0,9.7,
63,2022-07-11,Porites astreoides,447,1859.8,3900.9,2.88,0.0,7.2,
64,2022-07-11,Porites astreoides,448,2396.8,3489.5,9.03,0.0,12.2,
65,2022-07-11,Siderastrea siderea,449,2288.2,3519.8,3.94,0.0,8.5,
66,2022-07-11,Porites astreoides,450,2318.9,3631.4,4.57,0.0,8.8,
60,2022-07-11,Porites astreoides,444,261.7,4967.3,37.8,0.0,28.2,
68,2022-07-11,Porites astreoides,452,2613.5,8856.8,2.23,0.0,5.7,
69,2022-07-11,Porites astreoides,453,2347.4,7197.5,6.56,0.0,11.5,
70,2022-07-11,Porites astreoides,454,2342.3,7091.9,8.75,0.0,11.5,
67,2022-07-11,Porites astreoides,451,1492.1,8266.9,12.34,0.0,16.0,
72,2022-07-11,Stephanocoenia intersepta,456,4454.9,8000.0,8.35,0.0,16.5,
71,2022-07-11,Porites astreoides,455,4677.2,8094.4,10.99,0.0,13.4,
73,2022-07-11,Porites astreoides,457,6911.6,7841.8,10.03,0.0,13.6,
74,2022-07-11,Porites astreoides,458,8119.0,8416.8,10.01,0.0,13.7,
75,2022-07-11,Siderastrea siderea,459,10744.3,7652.5,370.5,0.0,137.4,
76,2022-07-11,Siderastrea siderea,460,11015.0,7498.3,18.8,0.0,17.9,
77,2022-07-11,Porites astreoides,461,10798.4,7120.6,1.62,0.0,4.9,
78,2022-07-11,Porites astreoides,462,12376.0,6341.5,122.76,0.0,46.4,
79,2022-07-11,Porites astreoides,463,16496.7,6787.3,46.67,0.0,51.2,
