id,class,count,%
-1,None,,
,Review,,
1,Unknown,,
2,Acropora spp.,,
3,Acropora cervicornis,66,2.6442307692307696
4,Acropora palmata,,
5,Porites spp.,,
6,Porites porites,,
7,Porites furcata,,
8,Porites divaricata,,
9,Porites astreoides,3,0.12019230769230771
10,Oculina spp.,,
11,Oculina robusta,,
12,Oculina varicosa,,
13,Oculina diffusa,,
14,Madracis spp.,,
15,Madracis auretenra,,
16,Madracis formosa,,
17,Madracis decactis,,
18,Dendrogyra cylindrus,,
19,Siderastrea spp.,,
20,Siderastrea siderea,20,0.8012820512820513
21,Siderastrea radians,,
22,Stephanocoenia intersepta,5,0.20032051282051283
23,Montastraea cavernosa,,
24,Orbicella spp.,,
25,Orbicella annularis,,
26,Orbicella faveolata,4,0.16025641025641027
27,Orbicella franksi,,
28,Favia fragum,,
29,Dichocoenia stokesii,1,0.04006410256410257
30,Solenastraea bournoni,,
31,Solenastraea hyades,,
32,Colpophyllia natans,,
33,Pseudodiploria spp.,,
34,Pseudodiploria strigosa,,
35,Pseudodiploria clivosa,,
36,Diploria labyrinthiformis,,
37,Manicina areolata,,
38,Meandrina spp.,,
39,Meandrina meandrites,,
40,Meandrina danae,,
41,Meandrina jacksoni,,
42,Helioseris cucullata,,
43,Agaricia spp.,,
44,Agaricia fragilis,,
45,Agaricia lamarcki,,
46, Agaricia agaricites,1,0.04006410256410257
47,Mycetophyllia spp.,,
48,Mycetophyllia lamarckiana,,
49,Mycetophyllia aliciae,,
50,Mycetophyllia ferox,,
51,Mycetophyllia reesi,,
52,Isophyllia spp.,,
53,Isophyllia sinuosa,,
54,Isophyllia rigida,,
55,Scolymia spp.,,
56,Scolymia cubensis,,
57,Scolymia wellsi,,
58,Mussa angulosa,,
59,Eusmilia fastigiata,,
60,Octocorallia,195,7.812500000000001
61,Gorgonia ventalina,,
62,Xestospongia muta,,
63,Thalassia testudinum,,
64,Halimeda,,
65,Dictyota spp.,,
66,Crustose coralline algae,,
67,Porifera,131,5.248397435897436
68,Cnidaria,,
69,Red algae,,
70,Green algae,,
71,Brown algae,,
72,Palythoa,182,7.291666666666667
73,Rubble,1592,63.782051282051285
74,Turf algae,260,10.416666666666668
75,Other,8,0.32051282051282054
76,Millepora spp.,28,1.1217948717948718
