id,class,count,%
-1,None,2,0.0814000814000814
,Review,,
1,Unknown,,
2,Acropora spp.,,
3,Acropora cervicornis,,
4,Acropora palmata,,
5,Porites spp.,,
6,Porites porites,1,0.0407000407000407
7,Porites furcata,,
8,Porites divaricata,,
9,Porites astreoides,4,0.1628001628001628
10,Oculina spp.,,
11,Oculina robusta,,
12,Oculina varicosa,,
13,Oculina diffusa,,
14,Madracis spp.,,
15,Madracis auretenra,,
16,Madracis formosa,,
17,Madracis decactis,,
18,Dendrogyra cylindrus,,
19,Siderastrea spp.,,
20,Siderastrea siderea,13,0.5291005291005291
21,Siderastrea radians,,
22,Stephanocoenia intersepta,3,0.1221001221001221
23,Montastraea cavernosa,,
24,Orbicella spp.,,
25,Orbicella annularis,,
26,Orbicella faveolata,6,0.2442002442002442
27,Orbicella franksi,,
28,Favia fragum,,
29,Dichocoenia stokesii,,
30,Solenastraea bournoni,,
31,Solenastraea hyades,,
32,Colpophyllia natans,,
33,Pseudodiploria spp.,,
34,Pseudodiploria strigosa,1,0.0407000407000407
35,Pseudodiploria clivosa,,
36,Diploria labyrinthiformis,,
37,Manicina areolata,,
38,Meandrina spp.,,
39,Meandrina meandrites,,
40,Meandrina danae,,
41,Meandrina jacksoni,,
42,Helioseris cucullata,,
43,Agaricia spp.,,
44,Agaricia fragilis,,
45,Agaricia lamarcki,,
46, Agaricia agaricites,,
47,Mycetophyllia spp.,,
48,Mycetophyllia lamarckiana,,
49,Mycetophyllia aliciae,,
50,Mycetophyllia ferox,,
51,Mycetophyllia reesi,,
52,Isophyllia spp.,,
53,Isophyllia sinuosa,,
54,Isophyllia rigida,,
55,Scolymia spp.,,
56,Scolymia cubensis,,
57,Scolymia wellsi,,
58,Mussa angulosa,,
59,Eusmilia fastigiata,,
60,Octocorallia,60,2.4420024420024418
61,Gorgonia ventalina,,
62,Xestospongia muta,,
63,Thalassia testudinum,,
64,Halimeda,,
65,Dictyota spp.,,
66,Crustose coralline algae,,
67,Porifera,122,4.965404965404965
68,Cnidaria,,
69,Red algae,,
70,Green algae,,
71,Brown algae,,
72,Palythoa,154,6.267806267806268
73,Rubble,869,35.368335368335366
74,Turf algae,1207,49.124949124949126
75,Other,7,0.2849002849002849
76,Millepora spp.,6,0.2442002442002442
77,Chordata,2,0.0814000814000814
