TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
0,2022-12-10,Porites astreoides,0,3521.0,852.1,19.95,0.0,34.5,
1,2022-12-10,Porites astreoides,1,2278.3,1313.0,9.23,0.0,20.8,
2,2022-12-10,Porites astreoides,2,2238.6,1767.7,8.4,0.0,11.9,
3,2022-12-10,Siderastrea siderea,3,1738.6,3285.3,18.74,0.0,19.9,
4,2022-12-10,Porites astreoides,4,5580.9,470.4,26.67,0.0,21.7,
5,2022-12-10,Siderastrea siderea,5,8766.2,57.8,40.87,0.0,29.7,
6,2022-12-10,Porites astreoides,6,11266.8,2343.6,63.44,0.0,37.8,
7,2022-12-10,Porites astreoides,7,14322.2,1965.1,14.56,0.0,17.5,
8,2022-12-10,Siderastrea siderea,8,13281.6,3516.9,23.26,0.0,23.4,
9,2022-12-10,Siderastrea siderea,9,18249.7,3391.4,9.76,0.0,14.3,
10,2022-12-10,Porites astreoides,10,18243.4,3601.6,8.68,0.0,12.0,
11,2022-12-10,Stephanocoenia intersepta,11,23110.2,1864.9,16.09,0.0,20.4,
12,2022-12-10,Siderastrea siderea,12,23531.4,3344.5,3.78,0.0,7.7,
13,2022-12-10,Siderastrea siderea,13,21018.2,488.2,4.06,0.0,8.6,
14,2022-12-10,Porites astreoides,14,30162.2,5940.6,29.49,0.0,23.3,
15,2022-12-10,Siderastrea siderea,15,29440.7,6984.5,1.32,0.0,4.4,
16,2022-12-10,Siderastrea siderea,16,21337.0,4567.4,19.23,0.0,18.3,
17,2022-12-10,Porites astreoides,17,23094.8,4396.4,6.87,0.0,11.3,
18,2022-12-10,Siderastrea siderea,18,15108.8,7202.1,40.59,0.0,25.9,
19,2022-12-10,Siderastrea siderea,19,12808.4,6395.3,6.12,0.0,9.6,
20,2022-12-10,Siderastrea siderea,20,13393.4,4989.1,45.72,0.0,56.9,
21,2022-12-10,Siderastrea siderea,21,10148.5,5859.9,8.43,0.0,11.9,
22,2022-12-10,Porites astreoides,22,8625.4,5826.6,29.68,0.0,24.6,
23,2022-12-10,Porites astreoides,23,6940.1,5329.3,11.05,0.0,15.3,
24,2022-12-10,Porites astreoides,24,4962.4,6991.8,26.31,0.0,39.0,
25,2022-12-10,Porites astreoides,25,8849.9,4110.6,5.27,0.0,9.4,
26,2022-12-10,Porites astreoides,26,4793.8,5067.2,8.07,0.0,13.2,
27,2022-12-10,Siderastrea siderea,27,4562.7,3607.3,5.69,0.0,9.6,
28,2022-12-10,Stephanocoenia intersepta,28,901.6,6566.8,32.76,0.0,32.4,
29,2022-12-10,Siderastrea siderea,29,1407.7,4311.9,31.36,0.0,23.0,
30,2022-12-10,Porites astreoides,30,3220.3,9027.0,13.96,0.0,25.7,
31,2022-12-10,Porites astreoides,31,2485.1,10045.7,1.22,0.0,4.2,
32,2022-12-10,Porites astreoides,32,1956.2,9007.8,12.81,0.0,14.6,
33,2022-12-10,Orbicella faveolata,33,7535.2,10325.3,6.58,0.0,10.0,
34,2022-12-10,Orbicella faveolata,34,7658.9,10257.0,6.3,0.0,10.3,
35,2022-12-10,Orbicella faveolata,35,7793.9,10262.4,3.48,0.0,9.6,
36,2022-12-10,Orbicella faveolata,36,7738.6,10343.6,5.22,0.0,9.3,
37,2022-12-10,Orbicella faveolata,37,7640.0,10391.1,2.99,0.0,7.9,
38,2022-12-10,Orbicella faveolata,38,6519.7,10721.1,6.93,0.0,10.4,
39,2022-12-10,Orbicella faveolata,39,6624.4,10782.8,11.5,0.0,13.2,
40,2022-12-10,Orbicella faveolata,40,6755.8,10750.3,6.07,0.0,9.6,
41,2022-12-10,Orbicella faveolata,41,6518.2,10851.0,8.51,0.0,12.0,
42,2022-12-10,Orbicella faveolata,42,6630.8,10909.3,4.05,0.0,8.0,
43,2022-12-10,Siderastrea siderea,43,8791.4,8502.8,22.21,0.0,29.4,
44,2022-12-10,Porites astreoides,44,8352.8,9264.9,12.66,0.0,15.5,
45,2022-12-10,Stephanocoenia intersepta,45,12109.9,7720.8,5.73,0.0,10.0,
46,2022-12-10,Porites astreoides,46,12811.5,9266.7,4.43,0.0,8.4,
