id,class,count,%,timePoint,year,pointCount
-1,None,,,2yr,Y1,1750
,Review,,,2yr,Y1,1750
1,Unknown,1,0.055309735,2yr,Y1,1750
2,Acropora spp.,,,2yr,Y1,1750
3,Acropora cervicornis,33,1.825221239,2yr,Y1,1750
4,Acropora palmata,,,2yr,Y1,1750
5,Porites spp.,,,2yr,Y1,1750
6,Porites porites,,,2yr,Y1,1750
7,Porites furcata,,,2yr,Y1,1750
8,Porites divaricata,,,2yr,Y1,1750
9,Porites astreoides,,,2yr,Y1,1750
10,Oculina spp.,,,2yr,Y1,1750
11,Oculina robusta,,,2yr,Y1,1750
12,Oculina varicosa,,,2yr,Y1,1750
13,Oculina diffusa,,,2yr,Y1,1750
14,Madracis spp.,,,2yr,Y1,1750
15,Madracis auretenra,,,2yr,Y1,1750
16,Madracis formosa,,,2yr,Y1,1750
17,Madracis decactis,,,2yr,Y1,1750
18,Dendrogyra cylindrus,,,2yr,Y1,1750
19,Siderastrea spp.,,,2yr,Y1,1750
20,Siderastrea siderea,4,0.221238938,2yr,Y1,1750
21,Siderastrea radians,,,2yr,Y1,1750
22,Stephanocoenia intersepta,,,2yr,Y1,1750
23,Montastraea cavernosa,,,2yr,Y1,1750
24,Orbicella spp.,,,2yr,Y1,1750
25,Orbicella annularis,,,2yr,Y1,1750
26,Orbicella faveolata,2,0.110619469,2yr,Y1,1750
27,Orbicella franksi,,,2yr,Y1,1750
28,Favia fragum,,,2yr,Y1,1750
29,Dichocoenia stokesii,,,2yr,Y1,1750
30,Solenastraea bournoni,,,2yr,Y1,1750
31,Solenastraea hyades,,,2yr,Y1,1750
32,Colpophyllia natans,,,2yr,Y1,1750
33,Pseudodiploria spp.,2,0.110619469,2yr,Y1,1750
34,Pseudodiploria strigosa,,,2yr,Y1,1750
35,Pseudodiploria clivosa,,,2yr,Y1,1750
36,Diploria labyrinthiformis,,,2yr,Y1,1750
37,Manicina areolata,,,2yr,Y1,1750
38,Meandrina spp.,,,2yr,Y1,1750
39,Meandrina meandrites,,,2yr,Y1,1750
40,Meandrina danae,,,2yr,Y1,1750
41,Meandrina jacksoni,,,2yr,Y1,1750
42,Helioseris cucullata,,,2yr,Y1,1750
43,Agaricia spp.,,,2yr,Y1,1750
44,Agaricia fragilis,,,2yr,Y1,1750
45,Agaricia lamarcki,,,2yr,Y1,1750
46, Agaricia agaricites,,,2yr,Y1,1750
47,Mycetophyllia spp.,,,2yr,Y1,1750
48,Mycetophyllia lamarckiana,,,2yr,Y1,1750
49,Mycetophyllia aliciae,,,2yr,Y1,1750
50,Mycetophyllia ferox,,,2yr,Y1,1750
51,Mycetophyllia reesi,,,2yr,Y1,1750
52,Isophyllia spp.,,,2yr,Y1,1750
53,Isophyllia sinuosa,,,2yr,Y1,1750
54,Isophyllia rigida,,,2yr,Y1,1750
55,Scolymia spp.,,,2yr,Y1,1750
56,Scolymia cubensis,,,2yr,Y1,1750
57,Scolymia wellsi,,,2yr,Y1,1750
58,Mussa angulosa,,,2yr,Y1,1750
59,Eusmilia fastigiata,,,2yr,Y1,1750
60,Octocorallia,57,3.152654867,2yr,Y1,1750
61,Gorgonia ventalina,,,2yr,Y1,1750
62,Xestospongia muta,,,2yr,Y1,1750
63,Thalassia testudinum,,,2yr,Y1,1750
64,Halimeda,,,2yr,Y1,1750
65,Dictyota spp.,,,2yr,Y1,1750
66,Crustose coralline algae,,,2yr,Y1,1750
67,Porifera,62,3.42920354,2yr,Y1,1750
68,Cnidaria,,,2yr,Y1,1750
69,Red algae,,,2yr,Y1,1750
70,Green algae,,,2yr,Y1,1750
71,Brown algae,,,2yr,Y1,1750
72,Palythoa,94,5.199115044,2yr,Y1,1750
73,Rubble,620,34.2920354,2yr,Y1,1750
74,Turf algae,916,50.66371681,2yr,Y1,1750
75,Other,6,0.331858407,2yr,Y1,1750
76,Millepora spp.,11,0.60840708,2yr,Y1,1750
