id,class,count,%,timePoint,year,pointCount
-1,None,,,2yr,Y1,2500
,Review,,,2yr,Y1,2500
1,Unknown,,,2yr,Y1,2500
2,Acropora spp.,,,2yr,Y1,2500
3,Acropora cervicornis,50,1.881821603,2yr,Y1,2500
4,Acropora palmata,,,2yr,Y1,2500
5,Porites spp.,,,2yr,Y1,2500
6,Porites porites,,,2yr,Y1,2500
7,Porites furcata,,,2yr,Y1,2500
8,Porites divaricata,,,2yr,Y1,2500
9,Porites astreoides,1,0.037636432,2yr,Y1,2500
10,Oculina spp.,,,2yr,Y1,2500
11,Oculina robusta,,,2yr,Y1,2500
12,Oculina varicosa,,,2yr,Y1,2500
13,Oculina diffusa,,,2yr,Y1,2500
14,Madracis spp.,,,2yr,Y1,2500
15,Madracis auretenra,,,2yr,Y1,2500
16,Madracis formosa,,,2yr,Y1,2500
17,Madracis decactis,,,2yr,Y1,2500
18,Dendrogyra cylindrus,,,2yr,Y1,2500
19,Siderastrea spp.,,,2yr,Y1,2500
20,Siderastrea siderea,5,0.18818216,2yr,Y1,2500
21,Siderastrea radians,,,2yr,Y1,2500
22,Stephanocoenia intersepta,3,0.112909296,2yr,Y1,2500
23,Montastraea cavernosa,2,0.075272864,2yr,Y1,2500
24,Orbicella spp.,,,2yr,Y1,2500
25,Orbicella annularis,,,2yr,Y1,2500
26,Orbicella faveolata,1,0.037636432,2yr,Y1,2500
27,Orbicella franksi,,,2yr,Y1,2500
28,Favia fragum,,,2yr,Y1,2500
29,Dichocoenia stokesii,,,2yr,Y1,2500
30,Solenastraea bournoni,,,2yr,Y1,2500
31,Solenastraea hyades,,,2yr,Y1,2500
32,Colpophyllia natans,,,2yr,Y1,2500
33,Pseudodiploria spp.,5,0.18818216,2yr,Y1,2500
34,Pseudodiploria strigosa,,,2yr,Y1,2500
35,Pseudodiploria clivosa,,,2yr,Y1,2500
36,Diploria labyrinthiformis,,,2yr,Y1,2500
37,Manicina areolata,,,2yr,Y1,2500
38,Meandrina spp.,,,2yr,Y1,2500
39,Meandrina meandrites,,,2yr,Y1,2500
40,Meandrina danae,,,2yr,Y1,2500
41,Meandrina jacksoni,,,2yr,Y1,2500
42,Helioseris cucullata,,,2yr,Y1,2500
43,Agaricia spp.,,,2yr,Y1,2500
44,Agaricia fragilis,,,2yr,Y1,2500
45,Agaricia lamarcki,,,2yr,Y1,2500
46, Agaricia agaricites,,,2yr,Y1,2500
47,Mycetophyllia spp.,,,2yr,Y1,2500
48,Mycetophyllia lamarckiana,,,2yr,Y1,2500
49,Mycetophyllia aliciae,,,2yr,Y1,2500
50,Mycetophyllia ferox,,,2yr,Y1,2500
51,Mycetophyllia reesi,,,2yr,Y1,2500
52,Isophyllia spp.,,,2yr,Y1,2500
53,Isophyllia sinuosa,,,2yr,Y1,2500
54,Isophyllia rigida,,,2yr,Y1,2500
55,Scolymia spp.,,,2yr,Y1,2500
56,Scolymia cubensis,,,2yr,Y1,2500
57,Scolymia wellsi,,,2yr,Y1,2500
58,Mussa angulosa,,,2yr,Y1,2500
59,Eusmilia fastigiata,,,2yr,Y1,2500
60,Octocorallia,127,4.779826872,2yr,Y1,2500
61,Gorgonia ventalina,,,2yr,Y1,2500
62,Xestospongia muta,,,2yr,Y1,2500
63,Thalassia testudinum,,,2yr,Y1,2500
64,Halimeda,,,2yr,Y1,2500
65,Dictyota spp.,,,2yr,Y1,2500
66,Crustose coralline algae,,,2yr,Y1,2500
67,Porifera,101,3.801279639,2yr,Y1,2500
68,Cnidaria,,,2yr,Y1,2500
69,Red algae,,,2yr,Y1,2500
70,Green algae,,,2yr,Y1,2500
71,Brown algae,,,2yr,Y1,2500
72,Palythoa,140,5.269100489,2yr,Y1,2500
73,Rubble,1138,42.83025969,2yr,Y1,2500
74,Turf algae,1053,39.63116297,2yr,Y1,2500
75,Other,9,0.338727889,2yr,Y1,2500
76,Millepora spp.,22,0.828001505,2yr,Y1,2500
